# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Oct  2 11:45:09 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag =1
# CONSTRAINT:  and disc_facility like '%TESS%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN tic_id:         TIC ID
# COLUMN gaia_id:        GAIA ID
# COLUMN default_flag:   Default Parameter Set
# COLUMN disc_facility:  Discovery Facility
#
pl_name,hostname,tic_id,gaia_id,default_flag,disc_facility
AU Mic b,AU Mic,TIC 441420236,Gaia DR2 6794047652729201024,1,Transiting Exoplanet Survey Satellite (TESS)
AU Mic c,AU Mic,TIC 441420236,Gaia DR2 6794047652729201024,1,Transiting Exoplanet Survey Satellite (TESS)
BD-14 3065 b,BD-14 3065 A,TIC 293607057,Gaia DR2 3751877374435102720,1,Transiting Exoplanet Survey Satellite (TESS)
DS Tuc A b,DS Tuc A,TIC 410214986,Gaia DR2 6387058411482257536,1,Transiting Exoplanet Survey Satellite (TESS)
GJ 1252 b,GJ 1252,TIC 370133522,Gaia DR2 6468968316900356736,1,Transiting Exoplanet Survey Satellite (TESS)
GJ 143 b,GJ 143,TIC 279741379,Gaia DR2 4673947174316727040,1,Transiting Exoplanet Survey Satellite (TESS)
GJ 238 b,GJ 238,TIC 260708537,Gaia DR2 5482827676662168832,1,Transiting Exoplanet Survey Satellite (TESS)
GJ 3090 b,GJ 3090,TIC 262530407,Gaia DR2 4933912198893332224,1,Transiting Exoplanet Survey Satellite (TESS)
GJ 3473 b,GJ 3473,TIC 452866790,Gaia DR2 3094290054327367168,1,Transiting Exoplanet Survey Satellite (TESS)
GJ 357 b,GJ 357,TIC 413248763,Gaia DR2 5664814198431308288,1,Transiting Exoplanet Survey Satellite (TESS)
GJ 367 b,GJ 367,TIC 34068865,Gaia DR2 5412250540681250560,1,Transiting Exoplanet Survey Satellite (TESS)
GJ 3929 b,GJ 3929,TIC 188589164,Gaia DR2 1372215976327300480,1,Transiting Exoplanet Survey Satellite (TESS)
GJ 806 b,GJ 806,TIC 239332587,Gaia DR2 2070115588901082368,1,Transiting Exoplanet Survey Satellite (TESS)
Gliese 12 b,Gliese 12,TIC 52005579,Gaia DR2 2768048564768256512,1,Transiting Exoplanet Survey Satellite (TESS)
HD 108236 b,HD 108236,TIC 260647166,Gaia DR2 6125644402384918784,1,Transiting Exoplanet Survey Satellite (TESS)
HD 108236 c,HD 108236,TIC 260647166,Gaia DR2 6125644402384918784,1,Transiting Exoplanet Survey Satellite (TESS)
HD 108236 d,HD 108236,TIC 260647166,Gaia DR2 6125644402384918784,1,Transiting Exoplanet Survey Satellite (TESS)
HD 108236 e,HD 108236,TIC 260647166,Gaia DR2 6125644402384918784,1,Transiting Exoplanet Survey Satellite (TESS)
HD 109833 b,HD 109833,TIC 360630575,Gaia DR2 5838450865699668736,1,Transiting Exoplanet Survey Satellite (TESS)
HD 109833 c,HD 109833,TIC 360630575,Gaia DR2 5838450865699668736,1,Transiting Exoplanet Survey Satellite (TESS)
HD 110082 b,HD 110082,TIC 383390264,Gaia DR2 5765748511163751936,1,Transiting Exoplanet Survey Satellite (TESS)
HD 110113 b,HD 110113,TIC 73228647,Gaia DR2 6133384959942131968,1,Transiting Exoplanet Survey Satellite (TESS)
HD 135694 b,HD 135694,TIC 232540264,Gaia DR2 1696831425624356480,1,Transiting Exoplanet Survey Satellite (TESS)
HD 1397 b,HD 1397,TIC 394137592,Gaia DR2 4707634458245031552,1,Transiting Exoplanet Survey Satellite (TESS)
HD 152843 b,HD 152843,TIC 349488688,Gaia DR2 4564566554995619072,1,Transiting Exoplanet Survey Satellite (TESS)
HD 152843 c,HD 152843,TIC 349488688,Gaia DR2 4564566554995619072,1,Transiting Exoplanet Survey Satellite (TESS)
