pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_id,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec
TOI-1135 b,TOI-1135,b,,HIP 62908,TIC 154872375,Gaia DR2 1726858366624544640,0,1,1,0,0,Transit,2024,<a refstr=MALLORQU_IACUTE_N_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240217448M/abstract target=ref>Mallorqu&iacute;n et al. 2024</a>,2024-02,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=MALLORQU_IACUTE_N_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240217448M/abstract target=ref>Mallorqu&iacute;n et al. 2024</a>,8.02773,3e-06,-3e-06,0,0.082,0.003,-0.003,0,9.02,0.227,-0.227,0,0.805,0.02,-0.02,0,51.42,,,1,0.162,,,1,,,,,,,,,,,,,,,,,51.42,,,1,0.162,,,1,Mass,0.41,,,1,0.0,,,0,,,,,1198.9,21.3,-21.3,0,89.97,0.03,-0.02,0,2459583.2582,0.0002,-0.0002,0,BJD,0,0.007,0.008,-0.005,0,0.486,0.003,-0.003,0,4.05,0.11,-0.11,0,15.12,0.4,-0.4,0,0.0697,0.0002,-0.0002,0,,,,,,,,,,,,,15.18,,,1,,,,,,,,,<a refstr=MALLORQU_IACUTE_N_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240217448M/abstract target=ref>Mallorqu&iacute;n et al. 2024</a>,G0,6122.0,15.0,-15.0,0,1.16,0.029,-0.029,0,1.125,0.032,-0.032,0,0.0,0.02,-0.02,0,[Fe/H],0.23096,0.01701,-0.01771,0,4.56,0.02,-0.02,0,0.562,0.438,-0.438,0,,,,,10.4,0.1,-0.1,0,5.13,0.27,-0.27,0,-20.9,0.22,-0.22,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h53m35.13s,193.3963704,+85d07m46.18s,85.1294952,31.99853,122.87817,67.21935,102.3124,17.6292865,0.0492208,-0.0492208,16.8827,0.0498496,-0.0498496,5.07604,0.0416364,-0.0416364,114.048,0.308,-0.306,8.73936,0.0234385,-0.0234385,10.134,0.043,-0.043,9.54,0.03,-0.03,8.458,0.026,-0.026,8.265,0.024,-0.024,8.192,0.019,-0.019,,,,,,,,,,,,,,,,8.144,0.023,-0.023,8.151,0.02,-0.02,8.127,0.02,-0.02,8.011,0.164,-0.164,9.41353,0.000539,-0.000539,,,,9.02855,0.0063,-0.0063,,,,2024-03-05,2024-02,2024-03-05,1,0,0,0,0,0,0
TOI-128.01,TOI-128,b,,HIP 24718,TIC 391949880,Gaia DR2 4621607053580909568,0,1,1,0,0,Transit,2024,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,2024-05,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,0,0,0,1,0,0,0,0,0,0,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,4.9404714,7.1e-06,-7.1e-06,0,,,,,2.3216,0.116622,-0.116622,0,0.20711964,0.01040434,-0.01040434,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.012,,,0,1178.0,,,0,,,,,2460175.867159,0.0012993,-0.0012993,0,BJD,0,,,,,0.0455,0.0017088,-0.0017088,0,1.954,0.417,-0.417,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,6086.0,193.0,-193.0,0,1.13,0.05,-0.05,0,,,,,,,,,,,,,,4.26269,0.26143,-0.26143,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h18m05.03s,79.5209381,-80d57m51.78s,-80.964384,-30.37768,293.31,-75.35827,276.48437,66.843427,0.0437538,-0.0437538,-49.1459,0.0416027,-0.0416027,45.307,0.0461566,-0.0461566,68.4727,0.1192,-0.1188,14.5754,0.0251911,-0.0251911,9.083,0.028,-0.028,8.44,0.03,-0.03,7.311,0.02,-0.02,7.018,0.024,-0.024,6.932,0.033,-0.033,,,,,,,,,,,,,,,,6.834,0.067,-0.067,6.873,0.02,-0.02,6.885,0.015,-0.015,6.873,0.065,-0.065,8.37173,0.000439,-0.000439,,,,7.9849,0.006,-0.006,,,,2023-12-04,2017-07,2023-12-04,0,0,0,0,0,0,0
TOI-1683.01,TOI-1683,b,,HIP 20528,TIC 58542531,Gaia DR2 152451414656258560,0,1,1,0,0,Transit,2024,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,2024-05,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,0,0,0,1,0,0,0,0,0,0,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,3.05752396361,3.79024e-06,-3.79024e-06,0,,,,,2.48784863,0.730607,-0.730607,0,0.22195137,0.0651805,-0.0651805,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.3379,,,0,848.22,,,0,,,,,2458816.411524,0.00050749,-0.00050749,0,BJD,0,,,,,0.11179638,0.0047368,-0.0047368,0,1.3790503,0.1722501,-0.1722501,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,4402.0,126.1,-126.1,0,0.695095,0.059498,-0.059498,0,,,,,,,,,,,,,,4.59,0.11,-0.11,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h23m55.12s,65.9796504,+27d49m20.53s,27.8223701,-15.04333,170.03093,6.13605,68.76822,43.9736001,0.0834765,-0.0834765,-16.0196,0.114759,-0.114759,-40.9518,0.0775847,-0.0775847,51.1884,0.1393,-0.1385,19.5069,0.0526051,-0.0526051,12.11,0.029,-0.029,10.97,0.03,-0.03,8.824,0.032,-0.032,8.209,0.026,-0.026,8.085,0.023,-0.023,15.5151,0.0079057,-0.0079057,11.7413,0.0006161,-0.0006161,10.5513,0.00037,-0.00037,10.2025,0.0005002,-0.0005002,10.2839,0.0011697,-0.0011697,8.001,0.024,-0.024,8.073,0.021,-0.021,,,,,,,10.5084,0.000334,-0.000334,,,,9.794,0.006,-0.006,,,,2025-04-21,2017-07,2025-04-21,0,0,0,0,0,0,0
TOI-1806.01,TOI-1806,b,,,TIC 166648874,Gaia DR2 733540939112687104,0,1,1,0,0,Transit,2024,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,2024-05,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,0,0,0,1,0,0,0,0,0,0,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,15.15120508799,0.00013577625,-0.00013577625,0,,,,,2.8411799,0.83051205,-0.83051205,0,0.25347353,0.07409345,-0.07409345,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1462,,,0,308.7,,,0,,,,,2458909.543414,0.00226335,-0.00226335,0,BJD,0,,,,,0.49553043,0.05473574,-0.05473574,0,2.3438166,0.4573348,-0.4573348,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,3272.0,157.0,-157.0,0,0.401575,0.011929,-0.011929,0,,,,,,,,,,,,,,4.82521,0.003437,-0.003437,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h04m28.36s,166.1181474,+30d27m30.87s,30.4585763,66.38538,198.4566,22.50855,154.93042,168.2044206,0.1066724,-0.1066724,-163.272,0.104972,-0.104972,-40.4349,0.131327,-0.131327,55.5211,0.2006,-0.1992,17.9826,0.064363,-0.064363,16.783,0.008,-0.008,15.193,0.134,-0.134,10.929,0.018,-0.018,10.275,0.021,-0.021,10.016,0.018,-0.018,,,,,,,,,,,,,,,,9.87,0.022,-0.022,9.753,0.02,-0.02,9.635,0.041,-0.041,8.55,,,13.927,0.000589,-0.000589,,,,12.6196,0.0078072,-0.0078072,,,,2025-04-21,2017-07,2025-04-21,0,0,0,0,0,0,0
TOI-2193 A b,TOI-2193 A,b,,,TIC 401604346,Gaia DR2 6373308503181838592,0,2,1,0,0,Transit,2022,<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,2022-08,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,1,0,0,1,0,0,0,0,0,0,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,2.12236725101,0.00013547437,-0.00013547437,0,,,,,12.98143672,1.458274,-1.458274,0,1.15812821,0.13009872,-0.13009872,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1534.906,,,0,1596.39,,,0,,,,,2459037.564542,0.00075842,-0.00075842,0,BJD,0,,,,,0.8056334,0.04009291,-0.04009291,0,1.5855365,0.0551264,-0.0551264,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,6079.0,128.67,-128.67,0,1.19653,0.055015,-0.055015,0,,,,,,,,,,,,,,4.33912,0.078839,-0.078839,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h54m45.90s,313.691232,-72d48m16.71s,-72.8046404,-34.78162,320.93525,-52.32057,289.51365,2.5094122,0.0302228,-0.0302228,-2.37555,0.0293505,-0.0293505,-0.808648,0.0369034,-0.0369034,337.064,2.385,-2.351,2.93802,0.0206884,-0.0206884,12.692,0.296,-0.296,11.976,0.021,-0.021,10.767,0.024,-0.024,10.462,0.023,-0.023,10.383,0.021,-0.021,,,,,,,,,,,,,,,,10.343,0.023,-0.023,10.354,0.021,-0.021,10.361,0.068,-0.068,8.318,,,11.8135,0.000203,-0.000203,,,,11.3996,0.006,-0.006,,,,2023-03-16,2017-07,2023-03-16,0,0,0,0,0,0,0
TOI-2545 b,TOI-2545,b,,,TIC 149845414,Gaia DR2 5762607889340459008,0,1,1,0,0,Transit,2022,<a refstr=MANTOVAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2311M/abstract target=ref>Mantovan et al. 2022</a>,2022-11,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,0,0,0,1,0,0,0,0,0,0,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,7.99403671774,5.260115e-05,-5.260115e-05,0,,,,,2.55760211,2.075654,-2.075654,0,0.22817437,0.18517777,-0.18517777,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.8217,,,0,1022.99,,,0,,,,,2458522.513973,0.00265988,-0.00265988,0,BJD,0,,,,,0.04046194,0.00392471,-0.00392471,0,4.271047,0.7690108,-0.7690108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5846.29,115.11,-115.11,0,1.25324,0.05548,-0.05548,0,,,,,,,,,,,,,,4.26525,0.07172,-0.07172,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h02m10.99s,135.5458029,-03d25m14.95s,-3.4208194,26.90832,232.51709,-19.44049,139.07555,18.6761292,0.0656548,-0.0656548,-14.6394,0.0686895,-0.0686895,-11.5968,0.060505,-0.060505,107.118,0.474,-0.47,9.30678,0.0408304,-0.0408304,10.055,0.053,-0.053,9.521,0.004,-0.004,8.361,0.023,-0.023,8.148,0.024,-0.024,8.06,0.02,-0.02,,,,,,,,,,,,,,,,8.027,0.022,-0.022,8.078,0.02,-0.02,8.046,0.023,-0.023,7.829,0.186,-0.186,9.2949,0.000228,-0.000228,,,,8.90594,0.0061,-0.0061,,,,2022-08-09,2017-07,2022-08-09,0,0,0,0,0,0,0
TOI-261.01,TOI-261,b,,HIP 4739,TIC 63898957,Gaia DR2 2345033662373296768,0,1,1,0,0,Transit,2024,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,2024-05,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,0,0,0,1,0,0,0,0,0,0,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,3.36392539669,1.564226e-05,-1.564226e-05,0,,,,,3.04498627,0.21149072,-0.21149072,0,0.27165595,0.01886797,-0.01886797,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.7956,,,0,1387.06,,,0,,,,,2458383.915624,0.00176224,-0.00176224,0,BJD,0,,,,,0.04220611,0.00290825,-0.00290825,0,3.3430495,0.1936962,-0.1936962,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5890.3,57.0,-57.0,0,1.28018,0.054503,-0.054503,0,,,,,,,,,,,,,,3.92,0.08,-0.08,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h00m52.35s,15.2181412,-24d25m26.38s,-24.4239934,-86.56158,161.59825,-28.32265,3.56568,108.9371092,0.0876879,-0.0876879,108.36,0.0879286,-0.0879286,-11.1984,0.0610847,-0.0610847,114.495,0.557,-0.552,8.70535,0.0419971,-0.0419971,10.12,0.034,-0.034,9.56,0.03,-0.03,8.507,0.029,-0.029,8.272,0.049,-0.049,8.182,0.053,-0.053,,,,,,,,,,,,,,,,8.159,0.024,-0.024,8.197,0.02,-0.02,8.178001,0.021,-0.021,8.042,0.203,-0.203,9.42329,0.00019,-0.00019,,,,9.03971,0.006,-0.006,,,,2022-08-08,2017-07,2022-08-08,0,0,0,0,0,0,0
TOI-2796 b,TOI-2796,b,,,TIC 220076110,Gaia DR2 3222453935725951488,0,1,1,0,0,Transit,2023,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,2023-03,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,1,0,0,1,0,0,0,0,0,0,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,4.808498,6.3e-06,-6.3e-06,0,,,,,15.0839,1.65876,-1.65876,0,1.34569774,0.14798491,-0.14798491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.1926,,,0,797.0,,,0,,,,,2459189.97794,0.0006521,-0.0006521,0,BJD,0,,,,,1.101,0.00109882,-0.00109882,0,1.405,0.244,-0.244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5449.5,227.7,-227.7,0,1.38,0.14,-0.14,0,,,,,,,,,,,,,,4.13,0.12,-0.12,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h36m36.65s,84.1527191,+00d53m46.60s,0.8962788,-16.15719,203.33391,-22.41469,83.66988,3.7256758,0.0953288,-0.0953288,2.63988,0.10449,-0.10449,2.62901,0.0850989,-0.0850989,350.343,6.018,-5.821,2.82651,0.0478503,-0.0478503,13.186,0.029,-0.029,12.475,0.08,-0.08,11.286,0.022,-0.022,10.976,0.022,-0.022,10.936,0.023,-0.023,15.322,0.0081764,-0.0081764,12.9273,0.0013198,-0.0013198,12.3989,0.0011876,-0.0011876,12.2972,0.0007541,-0.0007541,13.6408,0.0099131,-0.0099131,10.885,0.023,-0.023,10.942,0.021,-0.021,10.84,0.127,-0.127,8.966,,,12.3642,0.000273,-0.000273,,,,11.916,0.0215,-0.0215,,,,2024-08-30,2017-07,2024-08-30,0,0,0,0,0,0,0
TOI-3353.01,TOI-3353,b,,,TIC 391903064,Gaia DR2 5212899427468919296,0,1,1,0,0,Transit,2024,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,2024-05,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,0,0,0,1,0,0,0,0,0,0,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,4.6658007,3.3e-06,-3.3e-06,0,,,,,2.17821,0.11227,-0.11227,0,0.19432721,0.01001608,-0.01001608,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.429,,,0,1068.0,,,0,,,,,2460174.14998,0.0007765,-0.0007765,0,BJD,0,,,,,0.0565,0.00073722,-0.00073722,0,2.609,0.033,-0.033,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,6365.0,197.0,-197.0,0,1.02,0.05,-0.05,0,,,,,,,,,,,,,,4.54516,0.284258,-0.284258,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h06m07.16s,106.5298146,-75d49m10.41s,-75.8195594,-25.3491,287.23667,-79.40278,247.72441,39.0559897,0.0369037,-0.0369037,-5.96038,0.0360767,-0.0360767,38.5985,0.0369232,-0.0369232,78.7577,0.1215,-0.1211,12.6682,0.0194082,-0.0194082,9.953,0.037,-0.037,9.327,0.003,-0.003,8.147,0.023,-0.023,7.888,0.024,-0.024,7.779,0.024,-0.024,,,,,,,,,,,,,,,,7.689,0.029,-0.029,7.724,0.02,-0.02,7.688,0.017,-0.017,7.69,0.125,-0.125,9.23847,0.002015,-0.002015,,,,8.7843,0.0064,-0.0064,,,,2024-09-03,2017-07,2024-09-03,0,0,0,0,0,0,0
TOI-3540 A b,TOI-3540 A,b,,,TIC 17865622,Gaia DR2 1896138833241139584,0,2,1,0,0,Transit,2022,<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,2022-08,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,1,0,0,1,0,0,0,0,0,0,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,3.1198403899,0.00012818676,-0.00012818676,0,,,,,12.17579997,1.3005697,-1.3005697,0,1.08625399,0.11602926,-0.11602926,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.1777,,,0,1324.89,,,0,,,,,2459826.736428,0.00060954,-0.00060954,0,BJD,0,,,,,0.8016801,0.02830963,-0.02830963,0,1.7646723,0.0377944,-0.0377944,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,6011.2,41.8,-41.8,0,1.13476,0.105497,-0.105497,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h55m38.73s,328.9113712,+28d10m46.20s,28.1794996,-20.45574,82.16987,37.9025,343.06758,8.8177816,0.8610391,-0.8610391,8.41014,0.861268,-0.861268,2.65006,0.85873,-0.85873,,,,,,,12.065,0.067,-0.067,11.514,0.046,-0.046,10.237,0.021,-0.021,9.899,0.022,-0.022,9.784,0.017,-0.017,14.7239,0.0057821,-0.0057821,13.6499,0.0066453,-0.0066453,11.3455,0.0009481,-0.0009481,11.1763,0.0013498,-0.0013498,13.2797,0.0137313,-0.0137313,9.742,0.023,-0.023,9.792,0.019,-0.019,9.678001,0.062,-0.062,8.399,,,11.4036,0.002504,-0.002504,,,,10.9541,0.0065,-0.0065,,,,2024-09-16,2017-07,2024-09-16,0,0,0,0,0,0,0
