Star_sector,Tmag,rhat,p,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,value,err1,err2,Pipeline
TIC_410214986_28,7.8541,1.0,8.138268,0.05443452271810481,0.002351462360476964,-0.002351462360476964,0.0598155,0.0027324,-0.0026441,QLP
TIC_410214986_27,7.8541,1.0,8.138268,0.05443452271810481,0.002351462360476964,-0.002351462360476964,0.0601159,0.0021804,-0.001966,QLP
TIC_262530407_3,9.49275,1.0,2.8531054,0.03755320919500024,0.002418120299971542,-0.002418120299971542,0.0360316,0.0020934,-0.0032242,QLP
TIC_394137592_2,7.1062,1.03,11.53533,0.045056015205268946,0.0015575071103041398,-0.0015575071103041398,0.0404949,0.0016292,-0.0019901,QLP
TIC_207141131_30,8.1796,1.0,4.1374354,0.03095661168931183,0.0018506923779336236,-0.0018506923779336236,0.0283973,0.0013635,-0.0014999,QLP
TIC_207141131_29,8.1796,1.0,4.1374354,0.03095661168931183,0.0018506923779336236,-0.0018506923779336236,0.0315784,0.0011606,-0.0011527,QLP
TIC_333657795_42,8.1359,1.0,0.926118,0.013954709503514155,0.000619306073586963,-0.000619306073586963,0.0148965,0.0021705,-0.0016678,QLP
TIC_333657795_43,8.1359,1.0,0.926118,0.013954709503514155,0.000619306073586963,-0.000619306073586963,0.0128964,0.0016721,-0.0015539,QLP
TIC_290348383_13,7.3661,1.0,6.441008,0.026789375500366003,0.001674729407833703,-0.001674729407833703,0.0293763,0.0010949,-0.0011132,QLP
TIC_264678534_40,7.5825,1.0,16.202159,0.029396111485663724,0.0012051127581527567,-0.0012051127581527567,0.0215867,0.0011746,-0.0012274,QLP
TIC_264678534_20,7.5825,1.0,16.202159,0.029396111485663724,0.0012051127581527567,-0.0012051127581527567,0.0298596,0.0010065,-0.0010755,QLP
TIC_264678534_26,7.5825,1.0,16.202159,0.029396111485663724,0.0012051127581527567,-0.0012051127581527567,0.0240785,0.0330469,-0.0143524,QLP
TIC_266980320_28,9.179,1.0,6.04345,0.03773978560241421,0.0017990166765668673,-0.0017990166765668673,0.0414462,0.0016288,-0.0013908,QLP
TIC_293954617_54,8.3879,1.0,7.4341393,0.023732146346920575,0.0010576033658659522,-0.0010576033658659522,0.0215727,0.0018195,-0.0019485,QLP
TIC_293954617_41,8.3879,1.0,7.4341393,0.023732146346920575,0.0010576033658659522,-0.0010576033658659522,0.0195184,0.0014452,-0.0015704,QLP
TIC_293954617_55,8.3879,1.0,7.4341393,0.023732146346920575,0.0010576033658659522,-0.0010576033658659522,0.0214508,0.0009449,-0.0010109,QLP
TIC_267263253_28,9.2205,1.0,4.12688,0.09485858366455381,0.0044804754159781844,-0.0044804754159781844,0.096322,0.0003723,-0.0003857,QLP
TIC_267263253_27,9.2205,1.0,4.12688,0.09485858366455381,0.0044804754159781844,-0.0044804754159781844,0.0946615,0.0005509,-0.0005539,QLP
TIC_300038935_31,9.0963,1.0,29.04992,0.01943598958524332,0.0013046907760758833,-0.0013046907760758833,0.0169827,0.0019517,-0.0019558,QLP
TIC_300038935_32,9.0963,1.01,29.04992,0.01943598958524332,0.0013046907760758833,-0.0013046907760758833,0.0147269,0.0024962,-0.0026624,QLP
TIC_300038935_7,9.0963,1.0,29.04992,0.01943598958524332,0.0013046907760758833,-0.0013046907760758833,0.019193,0.0017064,-0.0017584,QLP
TIC_201248411_28,9.9005,1.0,0.9809734,0.28973172629889055,0.0785970254502948,-0.0785970254502948,0.1227412,0.0122398,-0.0111389,QLP
TIC_201248411_29,9.9005,1.01,0.9809734,0.28973172629889055,0.0785970254502948,-0.0785970254502948,0.1365974,0.0119617,-0.0104072,QLP
TIC_396562848_18,11.0548,1.0,1.9495378,0.045546224650702266,0.002584794717395364,-0.002584794717395364,0.0376457,0.0071818,-0.0048294,QLP
TIC_70899085_32,10.7329,1.0,4.052037,0.07429176240293071,0.005389764899366216,-0.005389764899366216,0.0679999,0.0019608,-0.0016629,QLP
TIC_54002556_30,11.6235,1.0,35.45533,0.10115639498843959,0.003911585861119634,-0.003911585861119634,0.1032026,0.0059048,-0.004541,QLP
TIC_351601843_13,11.1186,1.0,0.6047328,0.028309903502904018,0.0018376929752156107,-0.0018376929752156107,0.0262579,0.0028949,-0.00238,QLP
TIC_394561119_13,10.0068,1.0,4.0782387,0.07380935062966892,0.0037459406145407405,-0.0037459406145407405,0.0759837,0.0005526,-0.0005986,QLP
TIC_394561119_38,10.0068,1.0,4.0782387,0.07380935062966892,0.0037459406145407405,-0.0037459406145407405,0.0755059,0.0004524,-0.0004702,QLP
TIC_394561119_11,10.0068,1.0,4.0782387,0.07380935062966892,0.0037459406145407405,-0.0037459406145407405,0.0745762,0.0005577,-0.0005837,QLP
TIC_229510866_41,10.079,1.04,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0764661,0.0010008,-0.0006564,QLP
TIC_229510866_14,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0763908,0.000974,-0.0009994,QLP
TIC_229510866_49,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0774929,0.0005495,-0.0006156,QLP
TIC_229510866_22,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0775017,0.0008281,-0.0008853,QLP
TIC_229510866_20,10.079,1.02,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0770604,0.0007232,-0.0008552,QLP
TIC_229510866_15,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0756795,0.0008526,-0.0010344,QLP
TIC_229510866_18,10.079,1.01,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0764747,0.0007594,-0.000789,QLP
TIC_229510866_17,10.079,1.01,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0766319,0.0007022,-0.000821,QLP
TIC_229510866_54,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0767717,0.0004679,-0.0005015,QLP
TIC_229510866_53,10.079,1.03,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0778193,0.0005931,-0.000654,QLP
TIC_229510866_26,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.1530046,0.023683,-0.0232284,QLP
TIC_229510866_25,10.079,1.02,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0784234,0.000828,-0.000805,QLP
TIC_229510866_23,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0766056,0.0008467,-0.0009758,QLP
TIC_229510866_21,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0772459,0.0008104,-0.0009643,QLP
TIC_229510866_19,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0771861,0.0006633,-0.0007084,QLP
