Star_sector,Tmag,rhat,p,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,value,err1,err2,Pipeline
TIC_52005579_43,10.1769,1.0,12.761408,0.03378025766085468,0.00210584804098809,-0.00210584804098809,0.019394,0.0078429,-0.0077042,TGLC
TIC_39699648_47,8.4594,1.02,6.527363,0.02011386000531184,0.001165155940117395,-0.001165155940117395,0.0199597,0.0020119,-0.0023686,TGLC
TIC_39699648_21,8.4594,1.0,6.527363,0.02011386000531184,0.001165155940117395,-0.001165155940117395,0.021052,0.0052376,-0.0050509,TGLC
TIC_393818343_55,8.9797,1.0,16.24921,0.10247883724537153,0.0027989737923542323,-0.0027989737923542323,0.1153198,0.0012708,-0.0013403,TGLC
TIC_154872375_47,9.02855,1.0,8.0277283,0.07446742359136908,0.0,0.0,0.0754076,0.0009575,-0.0009625,TGLC
TIC_154872375_53,9.02855,1.01,8.0277283,0.07446742359136908,0.0,0.0,0.0778639,0.0009556,-0.0009973,TGLC
TIC_154872375_19,9.02855,1.0,8.0277283,0.07446742359136908,0.0,0.0,0.0734215,0.0016726,-0.001845,TGLC
TIC_158002130_19,10.112,1.0,9.686753,0.03761324858541479,0.00221120335502954,-0.00221120335502954,0.0429646,0.0025356,-0.0026057,TGLC
TIC_158002130_41,10.112,1.0,9.686753,0.03761324858541479,0.00221120335502954,-0.00221120335502954,0.0395029,0.0023531,-0.0024919,TGLC
TIC_158002130_47,10.112,1.0,9.686753,0.03761324858541479,0.00221120335502954,-0.00221120335502954,0.0400304,0.0019437,-0.0023437,TGLC
TIC_158002130_21,10.112,1.0,9.686753,0.03761324858541479,0.00221120335502954,-0.00221120335502954,0.0430288,0.0028323,-0.0032199,TGLC
TIC_391949880_11,7.9849,1.04,4.9404681,0.018003197900173202,0.0,0.0,0.022435,0.0036376,-0.0038883,TGLC
TIC_306955329_17,10.5508,1.0,6.36381,0.04540303047765735,0.0016362135546856224,-0.0016362135546856224,0.0487951,0.0031627,-0.0031937,TGLC
TIC_219857012_19,8.2865,1.0,21.269084,0.019187725567331965,0.0005543239582393853,-0.0005543239582393853,0.0125429,0.0086931,-0.0069588,TGLC
TIC_219857012_47,8.2865,1.05,21.269084,0.019187725567331965,0.0005543239582393853,-0.0005543239582393853,0.0171345,0.0040666,-0.0055962,TGLC
TIC_219857012_17,8.2865,1.01,21.269084,0.019187725567331965,0.0005543239582393853,-0.0005543239582393853,0.0250231,0.0074583,-0.0082197,TGLC
TIC_219857012_51,8.2865,1.0,21.269084,0.019187725567331965,0.0005543239582393853,-0.0005543239582393853,0.0232372,0.0022348,-0.002289,TGLC
TIC_219857012_15,8.2865,1.0,21.269084,0.019187725567331965,0.0005543239582393853,-0.0005543239582393853,0.0130067,0.0055156,-0.0058424,TGLC
TIC_219857012_21,8.2865,1.02,21.269084,0.019187725567331965,0.0005543239582393853,-0.0005543239582393853,0.0375812,0.0095934,-0.0062705,TGLC
TIC_219857012_25,8.2865,1.0,21.269084,0.019187725567331965,0.0005543239582393853,-0.0005543239582393853,0.0152273,0.0069099,-0.0084083,TGLC
TIC_289580577_15,11.2078,1.0,5.3846104,0.02343017806935333,0.0009659391034828397,-0.0009659391034828397,0.0123943,0.0080103,-0.0064168,TGLC
TIC_289580577_25,11.2078,1.07,5.3846104,0.02343017806935333,0.0009659391034828397,-0.0009659391034828397,0.0144707,0.0079968,-0.0077093,TGLC
TIC_289580577_47,11.2078,1.01,5.3846104,0.02343017806935333,0.0009659391034828397,-0.0009659391034828397,0.0241277,0.0032139,-0.0032438,TGLC
TIC_289580577_19,11.2078,1.07,5.3846104,0.02343017806935333,0.0009659391034828397,-0.0009659391034828397,0.0303669,0.013475,-0.0077859,TGLC
TIC_289580577_21,11.2078,1.03,5.3846104,0.02343017806935333,0.0009659391034828397,-0.0009659391034828397,0.0214815,0.0051648,-0.0050759,TGLC
TIC_21535395_21,7.6586,1.0,2.799868,0.011859776864540284,0.0008525814694275023,-0.0008525814694275023,0.0157161,0.0060498,-0.0093471,TGLC
TIC_142381532_15,9.7722,1.01,38.8,0.08641910227731123,0.004658315526655074,-0.004658315526655074,0.0937893,0.0013156,-0.0014321,TGLC
TIC_142381532_49,9.7722,1.0,38.8,0.08641910227731123,0.004658315526655074,-0.004658315526655074,0.018973,0.008786,-0.0078655,TGLC
TIC_348755728_35,13.3462,1.0,4.50638,0.10571172618080935,0.006227436848490337,-0.006227436848490337,0.1094803,0.0062143,-0.0065043,TGLC
TIC_445903569_9,10.2396,1.0,4.0337142,0.05450926119323265,0.004523180631654587,-0.004523180631654587,0.0621362,0.0018093,-0.0016677,TGLC
TIC_441765914_49,10.8812,1.0,124.72997,0.03972405640535579,0.0021469675338463496,-0.0021469675338463496,0.0324332,0.0043897,-0.0049631,TGLC
TIC_441765914_17,10.8812,1.0,124.72997,0.03972405640535579,0.0021469675338463496,-0.0021469675338463496,0.0395839,0.0042002,-0.00426,TGLC
TIC_441765914_21,10.8812,1.01,124.72997,0.03972405640535579,0.0021469675338463496,-0.0021469675338463496,0.0309663,0.0050452,-0.0041671,TGLC
TIC_441765914_53,10.8812,1.0,124.72997,0.03972405640535579,0.0021469675338463496,-0.0021469675338463496,0.0340121,0.0036931,-0.0037558,TGLC
TIC_439366538_1,11.2057,1.0,4.31361,0.09048338055476278,0.0047714988153388675,-0.0047714988153388675,0.4166667,0.0871861,-0.0711565,TGLC
TIC_201177276_1,13.6521,1.0,5.4693827,0.17337718950622177,0.004730158491625057,-0.004730158491625057,0.1804927,0.0174936,-0.0188547,TGLC
TIC_201177276_29,13.6521,1.0,5.4693827,0.17337718950622177,0.004730158491625057,-0.004730158491625057,0.1833502,0.0047099,-0.0050113,TGLC
TIC_1167538_31,10.0127,1.0,69.33684,0.08719508497844541,0.0014548011021959326,-0.0014548011021959326,0.0944052,0.0010322,-0.0010356,TGLC
TIC_443556801_33,11.3676,1.01,1.50801,0.03653277058975837,0.00729540373918446,-0.00729540373918446,0.0416511,0.0032139,-0.0033542,TGLC
TIC_452006073_37,11.8706,1.0,1.266938,0.05010862934982794,0.004077121911500845,-0.004077121911500845,0.053557,0.0021599,-0.0024684,TGLC
TIC_391903064_9,8.7843,1.06,4.6657965,0.023971413348059526,0.0,0.0,0.0141141,0.0107278,-0.0053673,TGLC
TIC_391903064_11,8.7843,1.04,4.6657965,0.023971413348059526,0.0,0.0,0.0162897,0.0098176,-0.0072704,TGLC
TIC_391903064_7,8.7843,1.07,4.6657965,0.023971413348059526,0.0,0.0,0.0135803,0.0079047,-0.0063174,TGLC
TIC_391903064_33,8.7843,1.09,4.6657965,0.023971413348059526,0.0,0.0,0.0126481,0.0080014,-0.0049433,TGLC
TIC_391903064_27,8.7843,1.06,4.6657965,0.023971413348059526,0.0,0.0,0.0136843,0.0092439,-0.0065509,TGLC
TIC_23769326_23,12.3342,1.0,7.433234,0.08556030435270598,0.005124338901122152,-0.005124338901122152,0.0851534,0.0040689,-0.0039091,TGLC
TIC_23769326_49,12.3342,1.0,7.433234,0.08556030435270598,0.005124338901122152,-0.005124338901122152,0.0861265,0.0046292,-0.0043559,TGLC
TIC_153065527_3,11.2828,1.0,13.1757294,0.046074672940344584,0.0,0.0,0.0474349,0.0053858,-0.005292,TGLC
TIC_153065527_31,11.2828,1.0,13.1757294,0.046074672940344584,0.0,0.0,0.0471957,0.0035908,-0.0038135,TGLC
TIC_470171739_53,11.1477,1.0,4.6174141,0.09236106017822436,0.004016645039060667,-0.004016645039060667,0.0948107,0.000874,-0.0008998,TGLC
TIC_470171739_25,11.1477,1.01,4.6174141,0.09236106017822436,0.004016645039060667,-0.004016645039060667,0.1016534,0.000923,-0.0009731,TGLC
TIC_166184428_11,11.0196,1.0,16.336334,0.05889693813710096,0.002960020725483914,-0.002960020725483914,0.0638034,0.005894,-0.0060933,TGLC
TIC_22233480_53,11.2695,1.0,7.44628,0.062440966031123354,0.004665594014531958,-0.004665594014531958,0.0739786,0.0026178,-0.0028039,TGLC
TIC_120826158_53,9.00568,1.0,5.1830043,0.024835483735015925,0.0,0.0,0.0296669,0.0035682,-0.003463,TGLC
TIC_456862677_17,11.302,1.0,15.266446,0.1297367229335296,0.006441633700094614,-0.006441633700094614,0.1776798,0.0372687,-0.0206541,TGLC
TIC_456862677_43,11.302,1.0,15.266446,0.1297367229335296,0.006441633700094614,-0.006441633700094614,0.1477017,0.0093415,-0.0052837,TGLC
TIC_58825110_17,11.1893,1.0,5.858858,0.05505798330664824,0.0044234281767169354,-0.0044234281767169354,0.0543359,0.0044311,-0.0045981,TGLC
TIC_58825110_43,11.1893,1.0,5.858858,0.05505798330664824,0.0044234281767169354,-0.0044234281767169354,0.0568305,0.0019126,-0.0020714,TGLC
TIC_154220877_49,14.6877,1.0,2.002849,0.15204642070313712,0.008521783872825492,-0.008521783872825492,0.1564705,0.0133116,-0.0145747,TGLC
