Star_sector,Tmag,rhat,p,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,value,err1,err2,Pipeline
TIC_410214986_28,7.8541,1.0,8.138268,0.05443452271810481,0.002351462360476964,-0.002351462360476964,0.0583132,0.0055522,-0.0057375,TGLC
TIC_410214986_27,7.8541,1.0,8.138268,0.05443452271810481,0.002351462360476964,-0.002351462360476964,0.0544595,0.0053468,-0.0060091,TGLC
TIC_262530407_3,9.49275,1.0,2.8531054,0.03755320919500024,0.002418120299971542,-0.002418120299971542,0.0405743,0.0038876,-0.0036532,TGLC
TIC_394137592_2,7.1062,1.0,11.53533,0.045056015205268946,0.0015575071103041398,-0.0015575071103041398,0.0399922,0.0027416,-0.0030253,TGLC
TIC_207141131_30,8.1796,1.0,4.1374354,0.03095661168931183,0.0018506923779336236,-0.0018506923779336236,0.0304612,0.0023287,-0.002359,TGLC
TIC_207141131_29,8.1796,1.0,4.1374354,0.03095661168931183,0.0018506923779336236,-0.0018506923779336236,0.031208,0.002151,-0.0024585,TGLC
TIC_333657795_42,8.1359,1.0,0.926118,0.013954709503514155,0.000619306073586963,-0.000619306073586963,0.0146745,0.0019265,-0.0020442,TGLC
TIC_333657795_43,8.1359,1.07,0.926118,0.013954709503514155,0.000619306073586963,-0.000619306073586963,0.0102644,0.0031006,-0.0041437,TGLC
TIC_290348383_13,7.3661,1.0,6.441008,0.026789375500366003,0.001674729407833703,-0.001674729407833703,0.0297205,0.002725,-0.0028967,TGLC
TIC_264678534_40,7.5825,1.05,16.202159,0.029396111485663724,0.0012051127581527567,-0.0012051127581527567,0.0235183,0.0028337,-0.0030364,TGLC
TIC_264678534_20,7.5825,1.03,16.202159,0.029396111485663724,0.0012051127581527567,-0.0012051127581527567,0.0248934,0.0052581,-0.0064183,TGLC
TIC_264678534_26,7.5825,1.01,16.202159,0.029396111485663724,0.0012051127581527567,-0.0012051127581527567,0.033303,0.0028936,-0.0029617,TGLC
TIC_266980320_28,9.179,1.0,6.04345,0.03773978560241421,0.0017990166765668673,-0.0017990166765668673,0.0452915,0.0024431,-0.0020009,TGLC
TIC_293954617_54,8.3879,1.0,7.4341393,0.023732146346920575,0.0010576033658659522,-0.0010576033658659522,0.0268361,0.0019789,-0.0022332,TGLC
TIC_293954617_41,8.3879,1.0,7.4341393,0.023732146346920575,0.0010576033658659522,-0.0010576033658659522,0.0226725,0.0016675,-0.0017396,TGLC
TIC_293954617_55,8.3879,1.0,7.4341393,0.023732146346920575,0.0010576033658659522,-0.0010576033658659522,0.0227521,0.0014665,-0.0015339,TGLC
TIC_267263253_28,9.2205,1.0,4.12688,0.09485858366455381,0.0044804754159781844,-0.0044804754159781844,0.1029619,0.0005009,-0.000485,TGLC
TIC_267263253_27,9.2205,1.0,4.12688,0.09485858366455381,0.0044804754159781844,-0.0044804754159781844,0.0997357,0.0003954,-0.0004042,TGLC
TIC_300038935_31,9.0963,1.01,29.04992,0.01943598958524332,0.0013046907760758833,-0.0013046907760758833,0.032064,0.0040045,-0.005041,TGLC
TIC_300038935_32,9.0963,1.0,29.04992,0.01943598958524332,0.0013046907760758833,-0.0013046907760758833,0.0113852,0.0092458,-0.0060893,TGLC
TIC_300038935_7,9.0963,1.0,29.04992,0.01943598958524332,0.0013046907760758833,-0.0013046907760758833,0.0227295,0.0096685,-0.0060534,TGLC
TIC_201248411_28,9.9005,1.0,0.9809734,0.28973172629889055,0.0785970254502948,-0.0785970254502948,0.1445806,0.0060649,-0.0055961,TGLC
TIC_201248411_29,9.9005,1.0,0.9809734,0.28973172629889055,0.0785970254502948,-0.0785970254502948,0.1354724,0.0134234,-0.0109605,TGLC
TIC_396562848_18,11.0548,1.0,1.9495378,0.045546224650702266,0.002584794717395364,-0.002584794717395364,0.0447083,0.0088733,-0.0055148,TGLC
TIC_70899085_32,10.7329,1.0,4.052037,0.07429176240293071,0.005389764899366216,-0.005389764899366216,0.0765618,0.0019346,-0.0016914,TGLC
TIC_54002556_30,11.6235,1.0,35.45533,0.10115639498843959,0.003911585861119634,-0.003911585861119634,0.1128732,0.0052693,-0.0046531,TGLC
TIC_351601843_13,11.1186,1.04,0.6047328,0.028309903502904018,0.0018376929752156107,-0.0018376929752156107,0.0314753,0.0022369,-0.0021945,TGLC
TIC_394561119_13,10.0068,1.0,4.0782387,0.07380935062966892,0.0037459406145407405,-0.0037459406145407405,0.0793826,0.0008606,-0.0008625,TGLC
TIC_394561119_38,10.0068,1.0,4.0782387,0.07380935062966892,0.0037459406145407405,-0.0037459406145407405,0.0806021,0.0005832,-0.0005996,TGLC
TIC_394561119_11,10.0068,1.0,4.0782387,0.07380935062966892,0.0037459406145407405,-0.0037459406145407405,0.0804058,0.0007812,-0.0008162,TGLC
TIC_229510866_41,10.079,1.01,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0803102,0.0008214,-0.0006815,TGLC
TIC_229510866_14,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0810896,0.0011429,-0.001321,TGLC
TIC_229510866_49,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0828861,0.0006813,-0.000678,TGLC
TIC_229510866_22,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0795337,0.0012541,-0.0011621,TGLC
TIC_229510866_20,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0795848,0.001042,-0.0011887,TGLC
TIC_229510866_15,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0793679,0.0009775,-0.0010903,TGLC
TIC_229510866_18,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0798375,0.0012086,-0.0013268,TGLC
TIC_229510866_17,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0806045,0.001097,-0.0012233,TGLC
TIC_229510866_54,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0804455,0.0005849,-0.0005871,TGLC
TIC_229510866_53,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0837067,0.0005488,-0.0005595,TGLC
TIC_229510866_26,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.080386,0.0011607,-0.0014351,TGLC
TIC_229510866_25,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0921822,0.0008913,-0.0009646,TGLC
TIC_229510866_23,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0802666,0.0011249,-0.0012265,TGLC
TIC_229510866_21,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0808449,0.0009945,-0.0010937,TGLC
TIC_229510866_19,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0819883,0.0008836,-0.0009718,TGLC
TIC_229510866_47,10.079,1.0,2.103195,0.07633995693697186,0.00612343990492228,-0.00612343990492228,0.0780995,0.0006833,-0.0006832,TGLC
TIC_147950620_41,10.4782,1.0,2.310644,0.08210063014167492,0.006581244699930211,-0.006581244699930211,0.0860304,0.0022635,-0.0017748,TGLC
TIC_147950620_48,10.4782,1.0,2.310644,0.08210063014167492,0.006581244699930211,-0.006581244699930211,0.0912635,0.0028149,-0.0023539,TGLC
TIC_147950620_47,10.4782,1.0,2.310644,0.08210063014167492,0.006581244699930211,-0.006581244699930211,0.0867627,0.0022726,-0.0017093,TGLC
TIC_147950620_40,10.4782,1.0,2.310644,0.08210063014167492,0.006581244699930211,-0.006581244699930211,0.0894933,0.0022254,-0.0016726,TGLC
TIC_147950620_14,10.4782,1.0,2.310644,0.08210063014167492,0.006581244699930211,-0.006581244699930211,0.0915161,0.0035599,-0.0028114,TGLC
TIC_147950620_21,10.4782,1.0,2.310644,0.08210063014167492,0.006581244699930211,-0.006581244699930211,0.0908392,0.003614,-0.0026039,TGLC
TIC_29960110_31,10.9473,1.0,2.4919863,0.04341279582719443,0.0023547909334104876,-0.0023547909334104876,0.0460402,0.0028453,-0.0030505,TGLC
TIC_231702397_27,13.084,1.0,5.07803,0.07556588289288425,0.005500033031302985,-0.005500033031302985,0.0779029,0.0094366,-0.0091173,TGLC
TIC_231702397_28,13.084,1.0,5.07803,0.07556588289288425,0.005500033031302985,-0.005500033031302985,0.0783159,0.0066551,-0.0073623,TGLC
TIC_447061717_10,10.2565,1.0,24.245586,0.06971438874423949,0.003675675999693534,-0.003675675999693534,0.0790793,0.0030985,-0.0032497,TGLC
TIC_447061717_9,10.2565,1.0,24.245586,0.06971438874423949,0.003675675999693534,-0.003675675999693534,0.0720234,0.003323,-0.0035766,TGLC
TIC_103633434_14,9.91924,1.0,3.444714,0.024989974436291237,0.0014315134738472756,-0.0014315134738472756,0.0308899,0.0031245,-0.0033699,TGLC
TIC_288735205_50,11.1534,1.0,3.477978,0.14792631988343571,0.005863757676566665,-0.005863757676566665,0.1607342,0.0016737,-0.0018165,TGLC
TIC_288735205_40,11.1534,1.01,3.477978,0.14792631988343571,0.005863757676566665,-0.005863757676566665,0.162331,0.001348,-0.0014006,TGLC
TIC_288735205_17,11.1534,1.0,3.477978,0.14792631988343571,0.005863757676566665,-0.005863757676566665,0.1540849,0.0024441,-0.0026372,TGLC
TIC_288735205_26,11.1534,1.0,3.477978,0.14792631988343571,0.005863757676566665,-0.005863757676566665,0.1623353,0.0024242,-0.0028541,TGLC
TIC_288735205_24,11.1534,1.0,3.477978,0.14792631988343571,0.005863757676566665,-0.005863757676566665,0.1617375,0.0019789,-0.0023953,TGLC
TIC_288735205_19,11.1534,1.0,3.477978,0.14792631988343571,0.005863757676566665,-0.005863757676566665,0.1571077,0.002462,-0.0023416,TGLC
TIC_288735205_47,11.1534,1.01,3.477978,0.14792631988343571,0.005863757676566665,-0.005863757676566665,0.1576755,0.0014668,-0.0013718,TGLC
TIC_288735205_53,11.1534,1.01,3.477978,0.14792631988343571,0.005863757676566665,-0.005863757676566665,0.1593781,0.0010304,-0.0011423,TGLC
TIC_288735205_20,11.1534,1.0,3.477978,0.14792631988343571,0.005863757676566665,-0.005863757676566665,0.1559996,0.0027799,-0.0025522,TGLC
TIC_288735205_14,11.1534,1.01,3.477978,0.14792631988343571,0.005863757676566665,-0.005863757676566665,0.1614205,0.0036561,-0.0031286,TGLC
TIC_288735205_51,11.1534,1.01,3.477978,0.14792631988343571,0.005863757676566665,-0.005863757676566665,0.1622737,0.0019648,-0.0019885,TGLC
TIC_288735205_41,11.1534,1.0,3.477978,0.14792631988343571,0.005863757676566665,-0.005863757676566665,0.1589807,0.0013954,-0.001513,TGLC
TIC_288735205_18,11.1534,1.0,3.477978,0.14792631988343571,0.005863757676566665,-0.005863757676566665,0.1525994,0.0028264,-0.0028272,TGLC
TIC_288735205_48,11.1534,1.02,3.477978,0.14792631988343571,0.005863757676566665,-0.005863757676566665,0.1574807,0.001934,-0.0021895,TGLC
TIC_142394656_49,10.1495,1.0,8.1577094,0.09068268315510365,0.0084098639169074,-0.0084098639169074,0.0979342,0.0009703,-0.0011501,TGLC
TIC_142394656_41,10.1495,1.0,8.1577094,0.09068268315510365,0.0084098639169074,-0.0084098639169074,0.0974266,0.0008845,-0.0009632,TGLC
TIC_142394656_21,10.1495,1.0,8.1577094,0.09068268315510365,0.0084098639169074,-0.0084098639169074,0.0961302,0.0017354,-0.0018012,TGLC
TIC_219854185_50,10.8041,1.0,3.9443715,0.07620418967299027,0.0026541455237828943,-0.0026541455237828943,0.0944663,0.0010495,-0.0010797,TGLC
TIC_219854185_40,10.8041,1.0,3.9443715,0.07620418967299027,0.0026541455237828943,-0.0026541455237828943,0.0829314,0.0009003,-0.0009525,TGLC
TIC_219854185_16,10.8041,1.0,3.9443715,0.07620418967299027,0.0026541455237828943,-0.0026541455237828943,0.0836078,0.0011386,-0.0012831,TGLC
TIC_219854185_48,10.8041,1.0,3.9443715,0.07620418967299027,0.0026541455237828943,-0.0026541455237828943,0.0765157,0.0010443,-0.0010829,TGLC
TIC_219854185_53,10.8041,1.0,3.9443715,0.07620418967299027,0.0026541455237828943,-0.0026541455237828943,0.0817439,0.0008014,-0.0009337,TGLC
TIC_219854185_22,10.8041,1.0,3.9443715,0.07620418967299027,0.0026541455237828943,-0.0026541455237828943,0.0829901,0.0016416,-0.0016695,TGLC
TIC_219854185_49,10.8041,1.0,3.9443715,0.07620418967299027,0.0026541455237828943,-0.0026541455237828943,0.0801969,0.0009744,-0.0010653,TGLC
TIC_219854185_54,10.8041,1.01,3.9443715,0.07620418967299027,0.0026541455237828943,-0.0026541455237828943,0.0806809,0.0012705,-0.0012934,TGLC
TIC_219854185_15,10.8041,1.01,3.9443715,0.07620418967299027,0.0026541455237828943,-0.0026541455237828943,0.0838101,0.0010211,-0.0011681,TGLC
TIC_219854185_47,10.8041,1.02,3.9443715,0.07620418967299027,0.0026541455237828943,-0.0026541455237828943,0.0804472,0.0009996,-0.0009796,TGLC
TIC_219854185_18,10.8041,1.0,3.9443715,0.07620418967299027,0.0026541455237828943,-0.0026541455237828943,0.0813849,0.0014573,-0.001515,TGLC
TIC_219854185_25,10.8041,1.0,3.9443715,0.07620418967299027,0.0026541455237828943,-0.0026541455237828943,0.0814473,0.001216,-0.0012795,TGLC
