#*******************************************************************************
# Revised: Nov 19, 2019              TESS / (Earth)                          -95
#                        https://tess.gsfc.nasa.gov/index.html 
#                   http://spaceflight101.com/tess/tess-orbit-design/ 
#
# BACKGROUND:
#  The NASA Transitting Exoplanet Survey Satellite (TESS) mission is to 
#  detect exoplanets transiting nearby bright stars, targets for followup 
#  characterization with large ground telescopes such as the Hubble Space 
#  Telescope and the future James Webb Space Telescope.
#
#  Launched        : 2018-Apr-18 22:51 UTC
#  Launch vehicle  : Falcon 9 Block 4
#  Launch site     : SLC-40, Cape Canaveral
#  Payload mass    : 362 kg
#  Ascent duration : 49 minutes, then TESS deployment
#
#  TESS is designed to:
#   - Monitor 200,000 nearby stars for planets
#   - Detect and characterize Earth and Super-Earth size planets
#   - Cover 400X larger sky area than Kepler
#   - Span stellar spectral types of F5 to M5
#
#  Transiting exoplanets allow determination of the following: 
#   - Fundamental properties: 
#       mass, radius, orbit
#   - Dynamics: 
#       planet-planet interactions, mutual inclinations, moons, tides
#   - Atmospheric composition & structure: 
#       transmission spectrum, emission spectrum, 
#
# MISSION OVERVIEW:
#  All-sky, two year photometric exoplanet discovery mission.
#  TESS will tile the sky with 26 observation sectors:
#
#   - At least 27 days staring at each 24 deg. x 96 deg. sector
#   - Brightest 100,000 stars at 1-minute cadence
#   - Full frame images with 30-minute cadence
#   - Map Northern hemisphere in first year
#   - Map Southern hemisphere in second year
#   - Sectors overlap at ecliptic poles for sensitivity to smaller 
#      and longer period planets in JWST Continuous Viewing Zone (CVZ)
#
#  TESS observes from unique High Earth Orbit (HEO):
#   - Unobstructed view for continuous observation
#   - Two 13.7 day orbits per observation sector
#   - Stable 2:1 resonance with Moon's orbit (P/2)
#   - Thermally stable, low-radiation
#
# SPACECRAFT: 
#  Designed for photometric stability. Heritage Orbital LEOStar-2 spacecraft bus:
#   - 3-axis stabilized pointing, with <= 3 arcsecong performance
#   - Two-headed star tracker; 4 wheel zero-momentum system
#   - 400W single-axis articulating solar array
#   - Passive thermal control
#   - Mono-propellant propulsion system
#   - Ka-band 100 Mbps science downlink 
#   - Hexagonal 3.9 x 1.2 x 1.5 meter dimensions when fully deployed
#   - Two 1.1 x 0.89 m solar panels
#
# SCIENCE INSTRUMENT: 
#  Four wide field-of-view CCD cameras. Each of the four cameras has:
#   - 24 deg. x 24 deg. Field-of-View
#   - 100 mm effective pupil diameter
#   - Lens assembly with 7 optical elements
#   - Athermal design
#   - 600nm - 1000nm bandpass
#   - 16.8 Megapixel, low-noise, low-power, MIT Lincoln Lab CCID-80 detector
#
# Trajectory:
#  A SpaceX Falcon 9 launched the 362-kilogram TESS spacecraft into a 
#  Suprasynchronous Transfer Orbit of 200 by 270,000 kilometers at an 
#  inclination of 28.5 degrees. 
#
#  The operational orbit chosen for TESS is a highly eccentric, 2:1 lunar 
#  resonance orbit of 108,400 by 376,300 kilometers at an inclination of 
#  37 degrees, timed so that the spacecraft reaches apogee with the moon at 
#  a phasing of 90 degrees. 
#
#  11 maneuvering engine burns, 3.5 phasing loops, and a lunar flyby will
#  be used during the first 60 days to go from the inital transfer orbit to
#  the operational orbit.
#
#  Post-launch trajectory (starts after launch ascent, L+00:49 min.).
#  Concatenated short-term predictions, each covering 3-4 days:
#
#  Trajectory name                           Start (TDB)          Stop (TDB)
#  ------------------------------------   -----------------   -----------------
#  Concatenated trajectory files (168)    2018-Apr-18 23:37   2021-May-19 13:01
#*******************************************************************************
# 
# 
#*******************************************************************************
#Ephemeris / WWW_USER Fri Nov 22 07:42:47 2019 Pasadena, USA      / Horizons    
#*******************************************************************************
#Target body name: TESS (spacecraft) (-95)         {source: TESS_merged}
#Center body name: Solar System Barycenter (0)     {source: DE431mx}
#Center-site name: BODY CENTER
#*******************************************************************************
#Start time      : A.D. 2018-Dec-01 00:00:00.0000 TDB
#Stop  time      : A.D. 2019-Dec-31 00:00:00.0000 TDB
#Step-size       : 60 minutes
#*******************************************************************************
#Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
#Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
#Center radii    : (undefined)                                                  
#Output units    : AU-D                                                         
#Output type     : GEOMETRIC cartesian states
#Output format   : 4 (position, LT, range, and range-rate)
#Reference frame : ICRF/J2000.0                                                 
#Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
#*******************************************************************************
#            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     LT,                     RG,                     RR,
#**************************************************************************************************************************************************************************************************
#$$SOE
JDTDB,CalendarDate,X,Y,Z,LT,RG,RR,
2458453.500000000, A.D. 2018-Dec-01 00:00:00.0000,  3.622430797706964E-01,  8.498891584428517E-01,  3.683970737046817E-01,  5.744385332815331E-03,  9.946094883896044E-01,  3.389665309500972E-04,
2458453.541666667, A.D. 2018-Dec-01 01:00:00.0000,  3.615559121991984E-01,  8.501538001150144E-01,  3.684990331418118E-01,  5.744465653721931E-03,  9.946233955234738E-01,  3.286066475032647E-04,
2458453.583333333, A.D. 2018-Dec-01 02:00:00.0000,  3.608683393095438E-01,  8.504176212255236E-01,  3.686006292788617E-01,  5.744543503529929E-03,  9.946368747998833E-01,  3.184284268199308E-04,
2458453.625000000, A.D. 2018-Dec-01 03:00:00.0000,  3.601803689751396E-01,  8.506806250008323E-01,  3.687018668319306E-01,  5.744618925280904E-03,  9.946499336712515E-01,  3.084262931228184E-04,
2458453.666666667, A.D. 2018-Dec-01 04:00:00.0000,  3.594920087638058E-01,  8.509428146258385E-01,  3.688027503346843E-01,  5.744691960698883E-03,  9.946625793618697E-01,  2.985948710058973E-04,
2458453.708333333, A.D. 2018-Dec-01 05:00:00.0000,  3.588032659543313E-01,  8.512041932414036E-01,  3.689032841476577E-01,  5.744762650237596E-03,  9.946748188760842E-01,  2.889289776294809E-04,
2458453.750000000, A.D. 2018-Dec-01 06:00:00.0000,  3.581141475519644E-01,  8.514647639423156E-01,  3.690034724669929E-01,  5.744831033126115E-03,  9.946866590061979E-01,  2.794236165157745E-04,
2458453.791666667, A.D. 2018-Dec-01 07:00:00.0000,  3.574246603029216E-01,  8.517245297756202E-01,  3.691033193326556E-01,  5.744897147412807E-03,  9.946981063400817E-01,  2.700739704112452E-04,
2458453.833333333, A.D. 2018-Dec-01 08:00:00.0000,  3.567348107079822E-01,  8.519834937392921E-01,  3.692028286361609E-01,  5.744961030007707E-03,  9.947091672685099E-01,  2.608753946015157E-04,
2458453.875000000, A.D. 2018-Dec-01 09:00:00.0000,  3.560446050352356E-01,  8.522416587811971E-01,  3.693020041278450E-01,  5.745022716723289E-03,  9.947198479922205E-01,  2.518234110061618E-04,
2458453.916666667, A.D. 2018-Dec-01 10:00:00.0000,  3.553540493320453E-01,  8.524990277983013E-01,  3.694008494237128E-01,  5.745082242313661E-03,  9.947301545287000E-01,  2.429137007468944E-04,
2458453.958333333, A.D. 2018-Dec-01 11:00:00.0000,  3.546631494362802E-01,  8.527556036361152E-01,  3.694993680118872E-01,  5.745139640512282E-03,  9.947400927187163E-01,  2.341420990088279E-04,
2458454.000000000, A.D. 2018-Dec-01 12:00:00.0000,  3.539719109868710E-01,  8.530113890883171E-01,  3.695975632586925E-01,  5.745194944068173E-03,  9.947496682325865E-01,  2.255045877246080E-04,
2458454.041666667, A.D. 2018-Dec-01 13:00:00.0000,  3.532803394337310E-01,  8.532663868965592E-01,  3.696954384143881E-01,  5.745248184780716E-03,  9.947588865762033E-01,  2.169972923311819E-04,
2458454.083333333, A.D. 2018-Dec-01 14:00:00.0000,  3.525884403700526E-01,  8.535205999962832E-01,  3.697930007155696E-01,  5.745299404208756E-03,  9.947677549452568E-01,  2.086179656895981E-04,
2458454.125000000, A.D. 2018-Dec-01 15:00:00.0000,  3.518962182810244E-01,  8.537740305778427E-01,  3.698902450368299E-01,  5.745348611360967E-03,  9.947762748995513E-01,  2.003600243075626E-04,
2458454.166666667, A.D. 2018-Dec-01 16:00:00.0000,  3.512036783948310E-01,  8.540266814290639E-01,  3.699871783735460E-01,  5.745395845700807E-03,  9.947844532719727E-01,  1.922214652392016E-04,
2458454.208333333, A.D. 2018-Dec-01 17:00:00.0000,  3.505108254933926E-01,  8.542785550841404E-01,  3.700838035629379E-01,  5.745441135550142E-03,  9.947922949662997E-01,  1.841989249224966E-04,
2458454.250000000, A.D. 2018-Dec-01 18:00:00.0000,  3.498176642111839E-01,  8.545296540260849E-01,  3.701801233503970E-01,  5.745484508435401E-03,  9.947998047485858E-01,  1.762891552497759E-04,
2458454.291666667, A.D. 2018-Dec-01 19:00:00.0000,  3.491241990421843E-01,  8.547799806871557E-01,  3.702761403935735E-01,  5.745525991114785E-03,  9.948069872518701E-01,  1.684890186530856E-04,
2458454.333333333, A.D. 2018-Dec-01 20:00:00.0000,  3.484304343464355E-01,  8.550295374493506E-01,  3.703718572662443E-01,  5.745565609604401E-03,  9.948138469807020E-01,  1.607954850449934E-04,
2458454.375000000, A.D. 2018-Dec-01 21:00:00.0000,  3.477363743562446E-01,  8.552783266449441E-01,  3.704672764619797E-01,  5.745603389203313E-03,  9.948203883154784E-01,  1.532056241118235E-04,
2458454.416666667, A.D. 2018-Dec-01 22:00:00.0000,  3.470420231820422E-01,  8.555263505570747E-01,  3.705624003976169E-01,  5.745639354517611E-03,  9.948266155166113E-01,  1.457166062084366E-04,
2458454.458333333, A.D. 2018-Dec-01 23:00:00.0000,  3.463473848179308E-01,  8.557736114203590E-01,  3.706572314165570E-01,  5.745673529483487E-03,  9.948325327285243E-01,  1.383256933755228E-04,
2458454.500000000, A.D. 2018-Dec-02 00:00:00.0000,  3.456524631469327E-01,  8.560201114215403E-01,  3.707517717918913E-01,  5.745705937389401E-03,  9.948381439834897E-01,  1.310302389372289E-04,
2458454.541666667, A.D. 2018-Dec-02 01:00:00.0000,  3.449572619459617E-01,  8.562658527001592E-01,  3.708460237293695E-01,  5.745736600897362E-03,  9.948434532053120E-01,  1.238276828225645E-04,
2458454.583333333, A.D. 2018-Dec-02 02:00:00.0000,  3.442617848905364E-01,  8.565108373492378E-01,  3.709399893702210E-01,  5.745765542063326E-03,  9.948484642128621E-01,  1.167155477953100E-04,
2458454.625000000, A.D. 2018-Dec-02 03:00:00.0000,  3.435660355592464E-01,  8.567550674159863E-01,  3.710336707938337E-01,  5.745792782356833E-03,  9.948531807234753E-01,  1.096914367847939E-04,
2458454.666666667, A.D. 2018-Dec-02 04:00:00.0000,  3.428700174379938E-01,  8.569985449025078E-01,  3.711270700203032E-01,  5.745818342679800E-03,  9.948576063562067E-01,  1.027530289720576E-04,
2458454.708333333, A.D. 2018-Dec-02 05:00:00.0000,  3.421737339240137E-01,  8.572412717665224E-01,  3.712201890128556E-01,  5.745842243384633E-03,  9.948617446349652E-01,  9.589807751565989E-05,
2458454.750000000, A.D. 2018-Dec-02 06:00:00.0000,  3.414771883297000E-01,  8.574832499220838E-01,  3.713130296801566E-01,  5.745864504291561E-03,  9.948655989915185E-01,  8.912440611895766E-05,
2458454.791666667, A.D. 2018-Dec-02 07:00:00.0000,  3.407803838862332E-01,  8.577244812403059E-01,  3.714055938785065E-01,  5.745885144705355E-03,  9.948691727683829E-01,  8.242990654268121E-05,
2458454.833333333, A.D. 2018-Dec-02 08:00:00.0000,  3.400833237470374E-01,  8.579649675500801E-01,  3.714978834139356E-01,  5.745904183431317E-03,  9.948724692215964E-01,  7.581253570220234E-05,
2458454.875000000, A.D. 2018-Dec-02 09:00:00.0000,  3.393860109910619E-01,  8.582047106387998E-01,  3.715899000441983E-01,  5.745921638790734E-03,  9.948754915233909E-01,  6.927031350601197E-05,
2458454.916666667, A.D. 2018-Dec-02 10:00:00.0000,  3.386884486259119E-01,  8.584437122530685E-01,  3.716816454806768E-01,  5.745937528635645E-03,  9.948782427647512E-01,  6.280131982569595E-05,
2458454.958333333, A.D. 2018-Dec-02 11:00:00.0000,  3.379906395908225E-01,  8.586819740994137E-01,  3.717731213901961E-01,  5.745951870363111E-03,  9.948807259578853E-01,  5.640369301008809E-05,
2458455.000000000, A.D. 2018-Dec-02 12:00:00.0000,  3.372925867595007E-01,  8.589194978449828E-01,  3.718643293967586E-01,  5.745964680928886E-03,  9.948829440385908E-01,  5.007562680430500E-05,
2458455.041666667, A.D. 2018-Dec-02 13:00:00.0000,  3.365942929428262E-01,  8.591562851182396E-01,  3.719552710831983E-01,  5.745975976860599E-03,  9.948848998685378E-01,  4.381536888445548E-05,
2458455.083333333, A.D. 2018-Dec-02 14:00:00.0000,  3.358957608914361E-01,  8.593923375096435E-01,  3.720459479927635E-01,  5.745985774270410E-03,  9.948865962374606E-01,  3.762121840415236E-05,
2458455.125000000, A.D. 2018-Dec-02 15:00:00.0000,  3.351969932981843E-01,  8.596276565723254E-01,  3.721363616306283E-01,  5.745994088867207E-03,  9.948880358652689E-01,  3.149152403301404E-05,
2458455.166666667, A.D. 2018-Dec-02 16:00:00.0000,  3.344979928004942E-01,  8.598622438227485E-01,  3.722265134653382E-01,  5.746000935968333E-03,  9.948892214040782E-01,  2.542468301141017E-05,
2458455.208333333, A.D. 2018-Dec-02 17:00:00.0000,  3.337987619826066E-01,  8.600961007413561E-01,  3.723164049301955E-01,  5.746006330510862E-03,  9.948901554401628E-01,  1.941913744020361E-05,
2458455.250000000, A.D. 2018-Dec-02 18:00:00.0000,  3.330993033777232E-01,  8.603292287732149E-01,  3.724060374245813E-01,  5.746010287062480E-03,  9.948908404958395E-01,  1.347337491694937E-05,
2458455.291666667, A.D. 2018-Dec-02 19:00:00.0000,  3.323996194700635E-01,  8.605616293286360E-01,  3.724954123152264E-01,  5.746012819831938E-03,  9.948912790312769E-01,  7.585924537990084E-06,
2458455.333333333, A.D. 2018-Dec-02 20:00:00.0000,  3.316997126968257E-01,  8.607933037837935E-01,  3.725845309374248E-01,  5.746013942679136E-03,  9.948914734462426E-01,  1.755357333759860E-06,
2458455.375000000, A.D. 2018-Dec-02 21:00:00.0000,  3.309995854500702E-01,  8.610242534813219E-01,  3.726733945962007E-01,  5.746013669124825E-03,  9.948914260817819E-01, -4.019716281902390E-06,
2458455.416666667, A.D. 2018-Dec-02 22:00:00.0000,  3.302992400785176E-01,  8.612544797309076E-01,  3.727620045674243E-01,  5.746012012359962E-03,  9.948911392218382E-01, -9.740647971210373E-06,
2458455.458333333, A.D. 2018-Dec-02 23:00:00.0000,  3.295986788892774E-01,  8.614839838098615E-01,  3.728503620988856E-01,  5.746008985254724E-03,  9.948906150948137E-01, -1.540875230994646E-05,
2458455.500000000, A.D. 2018-Dec-03 00:00:00.0000,  3.288979041494993E-01,  8.617127669636852E-01,  3.729384684113226E-01,  5.746004600367204E-03,  9.948898558750745E-01, -2.102530852928728E-05,
2458455.541666667, A.D. 2018-Dec-03 01:00:00.0000,  3.281969180879645E-01,  8.619408304066166E-01,  3.730263246994114E-01,  5.745998869951773E-03,  9.948888636844001E-01, -2.659156194260820E-05,
2458455.583333333, A.D. 2018-Dec-03 02:00:00.0000,  3.274957228966054E-01,  8.621681753221702E-01,  3.731139321327147E-01,  5.745991805967178E-03,  9.948876405933820E-01, -3.210872452314137E-05,
2458455.625000000, A.D. 2018-Dec-03 03:00:00.0000,  3.267943207319702E-01,  8.623948028636587E-01,  3.732012918565954E-01,  5.745983420084315E-03,  9.948861886227741E-01, -3.757797640715687E-05,
2458455.666666667, A.D. 2018-Dec-03 04:00:00.0000,  3.260927137166295E-01,  8.626207141547024E-01,  3.732884049930959E-01,  5.745973723693750E-03,  9.948845097447915E-01, -4.300046751224777E-05,
