# *******************************************************************************
#  Revised: Dec 02, 2020              TESS / (Earth)                          -95
#                         https://tess.gsfc.nasa.gov/index.html 
#                   http://spaceflight101.com/tess/tess-orbit-design/ 
# 
#  BACKGROUND:
#   The NASA Transiting Exoplanet Survey Satellite (TESS) mission is to 
#   detect exoplanets transiting nearby bright stars, targets for followup 
#   characterization with large ground telescopes such as the Hubble Space 
#   Telescope and the future James Webb Space Telescope.
# 
#   Launched        : 2018-Apr-18 22:51 UTC
#   Launch vehicle  : Falcon 9 Block 4
#   Launch site     : SLC-40, Cape Canaveral
#   Payload mass    : 362 kg
#   Ascent duration : 49 minutes, then TESS deployment
# 
#   A SpaceX Falcon 9 launched the 362-kilogram TESS spacecraft into a 
#   Suprasynchronous Transfer Orbit of 200 by 270,000 kilometers at an 
#   inclination of 28.5 degrees. 
# 
#   The operational orbit chosen for TESS is a highly eccentric, 2:1 lunar 
#   resonance orbit of 108,400 by 376,300 kilometers at an inclination of 
#   37 degrees, timed so that the spacecraft reaches apogee with the moon at 
#   a phasing of 90 degrees. 
# 
#   11 maneuvering engine burns, 3.5 phasing loops, and a lunar flyby will
#   be used during the first 60 days to go from the inital transfer orbit to
#   the operational orbit.
# 
#   TESS is designed to:
#    - Monitor 200,000 nearby stars for planets
#    - Detect and characterize Earth and Super-Earth size planets
#    - Cover 400X larger sky area than Kepler
#    - Span stellar spectral types of F5 to M5
# 
#   Transiting exoplanets allow determination of the following: 
#    - Fundamental properties: 
#        mass, radius, orbit
#    - Dynamics: 
#        planet-planet interactions, mutual inclinations, moons, tides
#    - Atmospheric composition & structure: 
#        transmission spectrum, emission spectrum, 
# 
#  MISSION OVERVIEW:
#   All-sky, two year photometric exoplanet discovery mission.
#   TESS will tile the sky with 26 observation sectors:
# 
#    - At least 27 days staring at each 24 deg. x 96 deg. sector
#    - Brightest 100,000 stars at 1-minute cadence
#    - Full frame images with 30-minute cadence
#    - Map Northern hemisphere in first year
#    - Map Southern hemisphere in second year
#    - Sectors overlap at ecliptic poles for sensitivity to smaller 
#       and longer period planets in JWST Continuous Viewing Zone (CVZ)
# 
#   TESS observes from unique High Earth Orbit (HEO):
#    - Unobstructed view for continuous observation
#    - Two 13.7 day orbits per observation sector
#    - Stable 2:1 resonance with Moon's orbit (P/2)
#    - Thermally stable, low-radiation
# 
#  SPACECRAFT: 
#   Designed for photometric stability. Heritage Orbital LEOStar-2 spacecraft bus:
#    - 3-axis stabilized pointing, with <= 3 arcsecong performance
#    - Two-headed star tracker; 4 wheel zero-momentum system
#    - 400W single-axis articulating solar array
#    - Passive thermal control
#    - Mono-propellant propulsion system
#    - Ka-band 100 Mbps science downlink 
#    - Hexagonal 3.9 x 1.2 x 1.5 meter dimensions when fully deployed
#    - Two 1.1 x 0.89 m solar panels
# 
#  SCIENCE INSTRUMENT: 
#   Four wide field-of-view CCD cameras. Each of the four cameras has:
#    - 24 deg. x 24 deg. Field-of-View
#    - 100 mm effective pupil diameter
#    - Lens assembly with 7 optical elements
#    - Athermal design
#    - 600nm - 1000nm bandpass
#    - 16.8 Megapixel, low-noise, low-power, MIT Lincoln Lab CCID-80 detector
# 
#  Trajectory:
#   Post-launch trajectory (starts after launch ascent, L+00:49 min.).
#   Concatenated short-term predictions, each covering ~ 3-4 days:
# 
#   Last tracking data used is 2020-Nov-30, predicts thereafter.
# 
#   Trajectory name                           Start (TDB)          Stop (TDB)
#   ------------------------------------   -----------------   -----------------
#   Concatenated trajectory files (243)    2018-Apr-18 23:37   2022-Jun-01 13:01
# *******************************************************************************
#  
#  
# *******************************************************************************
# Ephemeris / WWW_USER Tue Jan  5 13:13:46 2021 Pasadena, USA      / Horizons
# *******************************************************************************
# Target body name: TESS (spacecraft) (-95)         {source: TESS_merged}
# Center body name: Solar System Barycenter (0)     {source: DE431mx}
# Center-site name: BODY CENTER
# *******************************************************************************
# Start time      : A.D. 2020-Dec-17 00:00:00.0000 TDB
# Stop  time      : A.D. 2022-Jan-01 00:00:00.0000 TDB
# Step-size       : 60 minutes
# *******************************************************************************
# Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
# Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
# Center radii    : (undefined)                                                  
# Output units    : AU-D
# Output type     : GEOMETRIC cartesian states
# Output format   : 4 (position, LT, range, and range-rate)
# Reference frame : ICRF
# *******************************************************************************
#             JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     LT,                     RG,                     RR,
# **************************************************************************************************************************************************************************************************
# $$SOE
JDTDB,Calendar Date (TDB),X,Y,Z,LT,RG,RR,
2459200.500000000, A.D. 2020-Dec-17 00:00:00.0000,  7.490402226004468E-02,  9.049497591334870E-01,  3.926286902796709E-01,  5.713683732200207E-03,  9.892936710285877E-01, -6.687522512545794E-04,
2459200.541666667, A.D. 2020-Dec-17 01:00:00.0000,  7.422752673904603E-02,  9.049690945162295E-01,  3.926444234239477E-01,  5.713527456322506E-03,  9.892666126991472E-01, -6.287204886533916E-04,
2459200.583333333, A.D. 2020-Dec-17 02:00:00.0000,  7.355384268288717E-02,  9.049899490102148E-01,  3.926596022596099E-01,  5.713381814682096E-03,  9.892413956308164E-01, -5.801951924774557E-04,
2459200.625000000, A.D. 2020-Dec-17 03:00:00.0000,  7.288299130604994E-02,  9.050127367356317E-01,  3.926742285340513E-01,  5.713248976522257E-03,  9.892183954164258E-01, -5.221475865205426E-04,
2459200.666666667, A.D. 2020-Dec-17 04:00:00.0000,  7.221493291138581E-02,  9.050379172179916E-01,  3.926883122623019E-01,  5.713131344503164E-03,  9.891980280636893E-01, -4.536890797010803E-04,
2459200.708333333, A.D. 2020-Dec-17 05:00:00.0000,  7.154954771972080E-02,  9.050659858339193E-01,  3.927018740723325E-01,  5.713031502828851E-03,  9.891807410136648E-01, -3.742295462556184E-04,
2459200.750000000, A.D. 2020-Dec-17 06:00:00.0000,  7.088661670707080E-02,  9.050974560645085E-01,  3.927149474610703E-01,  5.712952122297629E-03,  9.891669967007449E-01, -2.836745176343865E-04,
2459200.791666667, A.D. 2020-Dec-17 07:00:00.0000,  7.022580594951033E-02,  9.051328322354952E-01,  3.927275804999049E-01,  5.712895815655087E-03,  9.891572475078048E-01, -1.826343941361186E-04,
2459200.833333333, A.D. 2020-Dec-17 08:00:00.0000,  6.956665923966758E-02,  9.051725732093354E-01,  3.927398363863230E-01,  5.712864946146403E-03,  9.891519026180629E-01, -7.259367429345201E-05,
2459200.875000000, A.D. 2020-Dec-17 09:00:00.0000,  6.890860402435989E-02,  9.052170503345232E-01,  3.927517922325041E-01,  5.712861407136565E-03,  9.891512898575043E-01,  4.403020860602710E-05,
2459200.916666667, A.D. 2020-Dec-17 10:00:00.0000,  6.825097413320017E-02,  9.052665062033425E-01,  3.927635357184912E-01,  5.712886407593421E-03,  9.891556185524235E-01,  1.640026157282705E-04,
2459200.958333333, A.D. 2020-Dec-17 11:00:00.0000,  6.759304902205487E-02,  9.053210229097727E-01,  3.927751597390535E-01,  5.712940309124628E-03,  9.891649513132450E-01,  2.835822463484897E-04,
2459201.000000000, A.D. 2020-Dec-17 12:00:00.0000,  6.693410428092611E-02,  9.053805079198083E-01,  3.927867558023465E-01,  5.713022556720119E-03,  9.891791920429543E-01,  3.989743621977389E-04,
2459201.041666667, A.D. 2020-Dec-17 13:00:00.0000,  6.627346411943977E-02,  9.054447017667346E-01,  3.927984074118158E-01,  5.713131724431685E-03,  9.891980938462733E-01,  5.068101571802108E-04,
2459201.083333333, A.D. 2020-Dec-17 14:00:00.0000,  6.561054561848269E-02,  9.055132058877864E-01,  3.928101847171451E-01,  5.713265666106638E-03,  9.892212851283827E-01,  6.045207461892369E-04,
2459201.125000000, A.D. 2020-Dec-17 15:00:00.0000,  6.494488730737973E-02,  9.055855236952776E-01,  3.928221413097194E-01,  5.713421734091378E-03,  9.892483074622730E-01,  6.905200014487564E-04,
2459201.166666667, A.D. 2020-Dec-17 16:00:00.0000,  6.427615961744033E-02,  9.056611056909220E-01,  3.928343133759337E-01,  5.713597017311983E-03,  9.892786568111186E-01,  7.641874469695758E-04,
2459201.208333333, A.D. 2020-Dec-17 17:00:00.0000,  6.360415950620397E-02,  9.057393904939418E-01,  3.928467208273886E-01,  5.713788556213849E-03,  9.893118207439251E-01,  8.257055712281244E-04,
2459201.250000000, A.D. 2020-Dec-17 18:00:00.0000,  6.292879432125344E-02,  9.058198368081966E-01,  3.928593697068347E-01,  5.713993508927956E-03,  9.893473072063247E-01,  8.758299845265116E-04,
2459201.291666667, A.D. 2020-Dec-17 19:00:00.0000,  6.225006043553032E-02,  9.059019447638911E-01,  3.928722551465189E-01,  5.714209261021516E-03,  9.893846635233127E-01,  9.156594905002541E-04,
2459201.333333333, A.D. 2020-Dec-17 20:00:00.0000,  6.156802111586694E-02,  9.059852675614883E-01,  3.928853643192582E-01,  5.714433484188343E-03,  9.894234865611700E-01,  9.464459505894489E-04,
2459201.375000000, A.D. 2020-Dec-17 21:00:00.0000,  6.088278644762351E-02,  9.060694155816912E-01,  3.928986790452513E-01,  5.714664155563940E-03,  9.894634260717663E-01,  9.694577185604746E-04,
