#*******************************************************************************
# Revised: Dec 14, 2021              TESS / (Earth)                          -95
#                        https://tess.gsfc.nasa.gov/index.html 
#                   http://spaceflight101.com/tess/tess-orbit-design/ 
#
# BACKGROUND:
#  The NASA Transiting Exoplanet Survey Satellite (TESS) mission is to 
#  detect exoplanets transiting nearby bright stars, targets for followup 
#  characterization with large ground telescopes such as the Hubble Space 
#  Telescope and the future James Webb Space Telescope.
#
#  Launched        : 2018-Apr-18 22:51 UTC
#  Launch vehicle  : Falcon 9 Block 4
#  Launch site     : SLC-40, Cape Canaveral
#  Payload mass    : 362 kg
#  Ascent duration : 49 minutes, then TESS deployment
#
#  A SpaceX Falcon 9 launched the 362-kilogram TESS spacecraft into a 
#  Suprasynchronous Transfer Orbit of 200 by 270,000 kilometers at an 
#  inclination of 28.5 degrees. 
#
#  The operational orbit chosen for TESS is a highly eccentric, 2:1 lunar 
#  resonance orbit of 108,400 by 376,300 kilometers at an inclination of 
#  37 degrees, timed so that the spacecraft reaches apogee with the moon at 
#  a phasing of 90 degrees. 
#
#  11 maneuvering engine burns, 3.5 phasing loops, and a lunar flyby will
#  be used during the first 60 days to go from the inital transfer orbit to
#  the operational orbit.
#
#  TESS is designed to:
#   - Monitor 200,000 nearby stars for planets
#   - Detect and characterize Earth and Super-Earth size planets
#   - Cover 400X larger sky area than Kepler
#   - Span stellar spectral types of F5 to M5
#
#  Transiting exoplanets allow determination of the following: 
#   - Fundamental properties: 
#       mass, radius, orbit
#   - Dynamics: 
#       planet-planet interactions, mutual inclinations, moons, tides
#   - Atmospheric composition & structure: 
#       transmission spectrum, emission spectrum, 
#
# MISSION OVERVIEW:
#  All-sky, two year photometric exoplanet discovery mission.
#  TESS will tile the sky with 26 observation sectors:
#
#   - At least 27 days staring at each 24 deg. x 96 deg. sector
#   - Brightest 100,000 stars at 1-minute cadence
#   - Full frame images with 30-minute cadence
#   - Map Northern hemisphere in first year
#   - Map Southern hemisphere in second year
#   - Sectors overlap at ecliptic poles for sensitivity to smaller 
#      and longer period planets in JWST Continuous Viewing Zone (CVZ)
#
#  TESS observes from unique High Earth Orbit (HEO):
#   - Unobstructed view for continuous observation
#   - Two 13.7 day orbits per observation sector
#   - Stable 2:1 resonance with Moon's orbit (P/2)
#   - Thermally stable, low-radiation
#
# SPACECRAFT: 
#  Designed for photometric stability. Heritage Orbital LEOStar-2 spacecraft bus:
#   - 3-axis stabilized pointing, with <= 3 arcsecong performance
#   - Two-headed star tracker; 4 wheel zero-momentum system
#   - 400W single-axis articulating solar array
#   - Passive thermal control
#   - Mono-propellant propulsion system
#   - Ka-band 100 Mbps science downlink 
#   - Hexagonal 3.9 x 1.2 x 1.5 meter dimensions when fully deployed
#   - Two 1.1 x 0.89 m solar panels
#
# SCIENCE INSTRUMENT: 
#  Four wide field-of-view CCD cameras. Each of the four cameras has:
#   - 24 deg. x 24 deg. Field-of-View
#   - 100 mm effective pupil diameter
#   - Lens assembly with 7 optical elements
#   - Athermal design
#   - 600nm - 1000nm bandpass
#   - 16.8 Megapixel, low-noise, low-power, MIT Lincoln Lab CCID-80 detector
#
# Trajectory:
#  Post-launch trajectory (starts after launch ascent, L+00:49 min.).
#  Concatenated short-term tag-up predictions, each covering ~3-4 days:
#
#  Last tracking data used is 2021-Dec-13, predicts thereafter.
#
#  Trajectory name                           Start (TDB)          Stop (TDB)
#  ------------------------------------   -----------------   -----------------
#  Concatenated trajectory files (311)    2018-Apr-18 23:37   2023-Jun-14 13:01
#*******************************************************************************
#
#
#*******************************************************************************
#Ephemeris / WWW_USER Wed Dec 15 13:42:28 2021 Pasadena, USA      / Horizons
#*******************************************************************************
#Target body name: TESS (spacecraft) (-95)         {source: TESS_merged}
#Center body name: Solar System Barycenter (0)     {source: DE441}
#Center-site name: BODY CENTER
#*******************************************************************************
#Start time      : A.D. 2021-Dec-15 00:00:00.0000 TDB
#Stop  time      : A.D. 2023-May-13 00:00:00.0000 TDB
#Step-size       : 60 minutes
#*******************************************************************************
#Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
#Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
#Center radii    : (undefined)                                                  
#Output units    : AU-D
#Output type     : GEOMETRIC cartesian states
#Output format   : 4 (position, LT, range, and range-rate)
#Reference frame : ICRF
#*******************************************************************************
#            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     LT,                     RG,                     RR,
#**************************************************************************************************************************************************************************************************
#$$SOE
JDTDB,Calendar Date (TDB),X,Y,Z,LT,RG,RR,
2459563.500000000, A.D. 2021-Dec-15 00:00:00.0000,  1.116369677021474E-01,  8.999690093938567E-01,  3.905377851561199E-01,  5.702653305966789E-03,  9.873838119301621E-01, -7.006026104597191E-04,
2459563.541666667, A.D. 2021-Dec-15 01:00:00.0000,  1.109194205153575E-01,  9.000122664669802E-01,  3.905682984050118E-01,  5.702483677116463E-03,  9.873544416051814E-01, -7.091709018582781E-04,
2459563.583333333, A.D. 2021-Dec-15 02:00:00.0000,  1.102024633687075E-01,  9.000546976752511E-01,  3.905983235875135E-01,  5.702311988455566E-03,  9.873247146350561E-01, -7.177189543106483E-04,
2459563.625000000, A.D. 2021-Dec-15 03:00:00.0000,  1.094861237096759E-01,  9.000963074083413E-01,  3.906278496099989E-01,  5.702138246844612E-03,  9.872946322076473E-01, -7.262298165187351E-04,
2459563.666666667, A.D. 2021-Dec-15 04:00:00.0000,  1.087704305043655E-01,  9.001371010507326E-01,  3.906568647785710E-01,  5.701962463534925E-03,  9.872641962710612E-01, -7.346838872982144E-04,
2459563.708333333, A.D. 2021-Dec-15 05:00:00.0000,  1.080554143355444E-01,  9.001770851212738E-01,  3.906853567623954E-01,  5.701784654852484E-03,  9.872334096520535E-01, -7.430585219872942E-04,
2459563.750000000, A.D. 2021-Dec-15 06:00:00.0000,  1.073411075056696E-01,  9.002162674325467E-01,  3.907133125555205E-01,  5.701604842983725E-03,  9.872022761920871E-01, -7.513275783674781E-04,
2459563.791666667, A.D. 2021-Dec-15 07:00:00.0000,  1.066275441445181E-01,  9.002546572729223E-01,  3.907407184374206E-01,  5.701423056878711E-03,  9.871708009037087E-01, -7.594608927119904E-04,
2459563.833333333, A.D. 2021-Dec-15 08:00:00.0000,  1.059147603207704E-01,  9.002922656147164E-01,  3.907675599326255E-01,  5.701239333289932E-03,  9.871389901504161E-01, -7.674236752283602E-04,
2459563.875000000, A.D. 2021-Dec-15 09:00:00.0000,  1.052027941565612E-01,  9.003291053522509E-01,  3.907938217699476E-01,  5.701053717967438E-03,  9.871068518535843E-01, -7.751758127312818E-04,
2459563.916666667, A.D. 2021-Dec-15 10:00:00.0000,  1.044916859435346E-01,  9.003651915742630E-01,  3.908194878420362E-01,  5.700866267034362E-03,  9.870743957306325E-01, -7.826710648594214E-04,
2459563.958333333, A.D. 2021-Dec-15 11:00:00.0000,  1.037814782583602E-01,  9.004005418756198E-01,  3.908445411662362E-01,  5.700677048570114E-03,  9.870416335691448E-01, -7.898561386591092E-04,
2459564.000000000, A.D. 2021-Dec-15 12:00:00.0000,  1.030722160748612E-01,  9.004351767140236E-01,  3.908689638480877E-01,  5.700486144432631E-03,  9.870085795423844E-01, -7.966696249455850E-04,
2459564.041666667, A.D. 2021-Dec-15 13:00:00.0000,  1.023639468689102E-01,  9.004691198180150E-01,  3.908927370492285E-01,  5.700293652354924E-03,  9.869752505722973E-01, -8.030407787829784E-04,
2459564.083333333, A.D. 2021-Dec-15 14:00:00.0000,  1.016567207109265E-01,  9.005023986533348E-01,  3.909158409620276E-01,  5.700099688355728E-03,  9.869416667469045E-01, -8.088881259046380E-04,
2459564.125000000, A.D. 2021-Dec-15 15:00:00.0000,  1.009505903391493E-01,  9.005350449553212E-01,  3.909382547939835E-01,  5.699904389508191E-03,  9.869078517996860E-01, -8.141178774186173E-04,
2459564.166666667, A.D. 2021-Dec-15 16:00:00.0000,  1.002456112047196E-01,  9.005670953356270E-01,  3.909599567658184E-01,  5.699707917114740E-03,  9.868738336592913E-01, -8.186221373026888E-04,
2459564.208333333, A.D. 2021-Dec-15 17:00:00.0000,  9.954184147693679E-02,  9.005985919718796E-01,  3.909809241283158E-01,  5.699510460339432E-03,  9.868396450784614E-01, -8.222768918630252E-04,
2459564.250000000, A.D. 2021-Dec-15 18:00:00.0000,  9.883934199369820E-02,  9.006295833889051E-01,  3.910011332043326E-01,  5.699312240350616E-03,  9.868053243513091E-01, -8.249397788799407E-04,
2459564.291666667, A.D. 2021-Dec-15 19:00:00.0000,  9.813817613795997E-02,  9.006601253396009E-01,  3.910205594641234E-01,  5.699113515026067E-03,  9.867709161279872E-01, -8.264476482867930E-04,
2459564.333333333, A.D. 2021-Dec-15 20:00:00.0000,  9.743840961605750E-02,  9.006902817920127E-01,  3.910391776441468E-01,  5.698914584267013E-03,  9.867364723347831E-01, -8.266139481635319E-04,
2459564.375000000, A.D. 2021-Dec-15 21:00:00.0000,  9.674011010761546E-02,  9.007201260264344E-01,  3.910569619219592E-01,  5.698715795956036E-03,  9.867020532056989E-01, -8.252260030593632E-04,
