#
#
#*******************************************************************************
#Ephemeris / WWW_USER Sun Jan 15 19:50:20 2023 Pasadena, USA      / Horizons
#*******************************************************************************
#Target body name: TESS (spacecraft) (-95)         {source: TESS_merged}
#Center body name: Solar System Barycenter (0)     {source: DE441}
#Center-site name: BODY CENTER
#*******************************************************************************
#Start time      : A.D. 2022-Dec-01 00:00:00.0000 TDB
#Stop  time      : A.D. 2024-Jan-31 00:00:00.0000 TDB
#Step-size       : 60 minutes
#*******************************************************************************
#Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
#Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
#Center radii    : (undefined)                                                  
#Output units    : AU-D
#Output type     : GEOMETRIC cartesian states
#Output format   : 4 (position, LT, range, and range-rate)
#Reference frame : ICRF
#*******************************************************************************
#            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     LT,                     RG,                     RR,
#**************************************************************************************************************************************************************************************************
#$$SOE
JDTDB,Calendar Date (TDB),X,Y,Z,LT,RG,RR,
2459914.500000000, A.D. 2022-Dec-01 00:00:00.0000,  3.545513797847864E-01,  8.434555523432918E-01,  3.644843975816100E-01,  5.688146200344808E-03,  9.848719844560777E-01,  3.583805967448802E-04,
2459914.541666667, A.D. 2022-Dec-01 01:00:00.0000,  3.538667348840184E-01,  8.437128554321967E-01,  3.645942729772300E-01,  5.688231836848191E-03,  9.848868119569993E-01,  3.533420397845537E-04,
2459914.583333333, A.D. 2022-Dec-01 02:00:00.0000,  3.531817110557090E-01,  8.439694673554922E-01,  3.647040493998810E-01,  5.688316262700441E-03,  9.849014298401756E-01,  3.483188954480256E-04,
2459914.625000000, A.D. 2022-Dec-01 03:00:00.0000,  3.524963117159351E-01,  8.442253880650918E-01,  3.648137247650352E-01,  5.688399481574349E-03,  9.849158387415300E-01,  3.433108610433368E-04,
2459914.666666667, A.D. 2022-Dec-01 04:00:00.0000,  3.518105402166321E-01,  8.444806175161088E-01,  3.649232970316120E-01,  5.688481497068721E-03,  9.849300392841763E-01,  3.383176247264822E-04,
2459914.708333333, A.D. 2022-Dec-01 05:00:00.0000,  3.511243998477422E-01,  8.447351556659329E-01,  3.650327642004169E-01,  5.688562312706291E-03,  9.849440320780579E-01,  3.333388663116381E-04,
2459914.750000000, A.D. 2022-Dec-01 06:00:00.0000,  3.504378938392924E-01,  8.449890024733606E-01,  3.651421243126412E-01,  5.688641931931833E-03,  9.849578177196181E-01,  3.283742580163170E-04,
2459914.791666667, A.D. 2022-Dec-01 07:00:00.0000,  3.497510253634005E-01,  8.452421578977697E-01,  3.652513754484155E-01,  5.688720358110379E-03,  9.849713967914945E-01,  3.234234651468336E-04,
2459914.833333333, A.D. 2022-Dec-01 08:00:00.0000,  3.490637975362031E-01,  8.454946218983552E-01,  3.653605157254220E-01,  5.688797594525659E-03,  9.849847698622474E-01,  3.184861467238177E-04,
2459914.875000000, A.D. 2022-Dec-01 09:00:00.0000,  3.483762134197219E-01,  8.457463944334023E-01,  3.654695432975550E-01,  5.688873644378649E-03,  9.849979374861082E-01,  3.135619560577559E-04,
2459914.916666667, A.D. 2022-Dec-01 10:00:00.0000,  3.476882760236580E-01,  8.459974754596065E-01,  3.655784563536333E-01,  5.688948510786251E-03,  9.850109002027521E-01,  3.086505412730991E-04,
2459914.958333333, A.D. 2022-Dec-01 11:00:00.0000,  3.469999883071260E-01,  8.462478649314381E-01,  3.656872531161596E-01,  5.689022196780132E-03,  9.850236585370959E-01,  3.037515457866967E-04,
2459915.000000000, A.D. 2022-Dec-01 12:00:00.0000,  3.463113531803292E-01,  8.464975628005340E-01,  3.657959318401226E-01,  5.689094705305608E-03,  9.850362129991050E-01,  2.988646087456772E-04,
2459915.041666667, A.D. 2022-Dec-01 13:00:00.0000,  3.456223735061744E-01,  8.467465690151361E-01,  3.659044908118455E-01,  5.689166039220697E-03,  9.850485640836304E-01,  2.939893654232456E-04,
2459915.083333333, A.D. 2022-Dec-01 14:00:00.0000,  3.449329978979889E-01,  8.469948983551840E-01,  3.660129645535607E-01,  5.689236243044992E-03,  9.850607194990005E-01,  2.891144618023743E-04,
2459915.125000000, A.D. 2022-Dec-01 15:00:00.0000,  3.442433369056137E-01,  8.472425206060926E-01,  3.661212793462543E-01,  5.689305233293727E-03,  9.850726647902758E-01,  2.842613125152591E-04,
2459915.166666667, A.D. 2022-Dec-01 16:00:00.0000,  3.435533396881484E-01,  8.474894510120408E-01,  3.662294694203583E-01,  5.689373056929116E-03,  9.850844080887118E-01,  2.794187428651545E-04,
2459915.208333333, A.D. 2022-Dec-01 17:00:00.0000,  3.428630089344706E-01,  8.477356895026237E-01,  3.663375331767484E-01,  5.689439716451798E-03,  9.850959498272810E-01,  2.745863758976216E-04,
2459915.250000000, A.D. 2022-Dec-01 18:00:00.0000,  3.421723472934680E-01,  8.479812360016488E-01,  3.664454690424434E-01,  5.689505214271427E-03,  9.851072904232014E-01,  2.697638322875127E-04,
2459915.291666667, A.D. 2022-Dec-01 19:00:00.0000,  3.414813573753603E-01,  8.482260904267284E-01,  3.665532754696680E-01,  5.689569552706096E-03,  9.851184302778387E-01,  2.649507305614870E-04,
2459915.333333333, A.D. 2022-Dec-01 20:00:00.0000,  3.407900417529773E-01,  8.484702526889027E-01,  3.666609509349502E-01,  5.689632733981866E-03,  9.851293697766239E-01,  2.601466872957068E-04,
2459915.375000000, A.D. 2022-Dec-01 21:00:00.0000,  3.400984029630003E-01,  8.487137226922746E-01,  3.667684939382432E-01,  5.689694760232308E-03,  9.851401092889730E-01,  2.553513172953310E-04,
2459915.416666667, A.D. 2022-Dec-01 22:00:00.0000,  3.394064435071616E-01,  8.489565003336697E-01,  3.668759030020807E-01,  5.689755633498107E-03,  9.851506491682196E-01,  2.505642337511590E-04,
2459915.458333333, A.D. 2022-Dec-01 23:00:00.0000,  3.387141658534117E-01,  8.491985855023066E-01,  3.669831766707532E-01,  5.689815355726675E-03,  9.851609897515472E-01,  2.457850483802608E-04,
2459915.500000000, A.D. 2022-Dec-02 00:00:00.0000,  3.380215724370481E-01,  8.494399780794906E-01,  3.670903135095144E-01,  5.689873928771826E-03,  9.851711313599347E-01,  2.410133715463205E-04,
2459915.541666667, A.D. 2022-Dec-02 01:00:00.0000,  3.373286656617998E-01,  8.496806779383215E-01,  3.671973121038092E-01,  5.689931354393467E-03,  9.851810742980999E-01,  2.362488123638964E-04,
2459915.583333333, A.D. 2022-Dec-02 02:00:00.0000,  3.366354479009402E-01,  8.499206849433871E-01,  3.673041710585224E-01,  5.689987634257268E-03,  9.851908188544447E-01,  2.314909787948272E-04,
2459915.625000000, A.D. 2022-Dec-02 03:00:00.0000,  3.359419214982525E-01,  8.501599989505311E-01,  3.674108889972555E-01,  5.690042769934451E-03,  9.852003653010176E-01,  2.267394777157034E-04,
