# *******************************************************************************
# Ephemeris / WWW_USER Tue Nov 26 12:01:43 2024 Pasadena, USA      / Horizons
# *******************************************************************************
# Target body name: TESS (spacecraft) (-95)         {source: TESS_merged}
# Center body name: Solar System Barycenter (0)     {source: DE441}
# Center-site name: BODY CENTER
# *******************************************************************************
# Start time      : A.D. 2023-Dec-01 00:00:00.0000 TDB
# Stop  time      : A.D. 2025-Jan-31 00:00:00.0000 TDB
# Step-size       : 60 minutes
# *******************************************************************************
# Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
# Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
# Center radii    : (undefined)
# Output units    : AU-D
# Calendar mode   : Mixed Julian/Gregorian
# Output type     : GEOMETRIC cartesian states
# Output format   : 4 (position, LT, range, and range-rate)
# Reference frame : ICRF
# *******************************************************************************
#             JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     LT,                     RG,                     RR,
# **************************************************************************************************************************************************************************************************
# $$SOE
JDTDB,Calendar Date (TDB),X,Y,Z,LT,RG,RR,
2460279.500000000, A.D. 2023-Dec-01 00:00:00.0000,  3.596876534570835E-01,  8.392603922012700E-01,  3.626016968420022E-01,  5.674173275229383E-03,  9.824526474695826E-01,  1.910130511475916E-04,
2460279.541666667, A.D. 2023-Dec-01 01:00:00.0000,  3.590016641310288E-01,  8.395126374303413E-01,  3.627188900305907E-01,  5.674218693441263E-03,  9.824605113891953E-01,  1.864500702631318E-04,
2460279.583333333, A.D. 2023-Dec-01 02:00:00.0000,  3.583153136434766E-01,  8.397642089891764E-01,  3.628359725423742E-01,  5.674263009946949E-03,  9.824681845542940E-01,  1.818567619281090E-04,
2460279.625000000, A.D. 2023-Dec-01 03:00:00.0000,  3.576286034011839E-01,  8.400151052396275E-01,  3.629529427841141E-01,  5.674306217395302E-03,  9.824756656920679E-01,  1.772326837756651E-04,
2460279.666666667, A.D. 2023-Dec-01 04:00:00.0000,  3.569415348043745E-01,  8.402653245293009E-01,  3.630697991638121E-01,  5.674348308327103E-03,  9.824829535109934E-01,  1.725773800740211E-04,
2460279.708333333, A.D. 2023-Dec-01 05:00:00.0000,  3.562541092471860E-01,  8.405148651909813E-01,  3.631865400900664E-01,  5.674389275171839E-03,  9.824900467002772E-01,  1.678903816123437E-04,
2460279.750000000, A.D. 2023-Dec-01 06:00:00.0000,  3.555663281181316E-01,  8.407637255420475E-01,  3.633031639714241E-01,  5.674429110244462E-03,  9.824969439292938E-01,  1.631712055757374E-04,
2460279.791666667, A.D. 2023-Dec-01 07:00:00.0000,  3.548781928005670E-01,  8.410119038838839E-01,  3.634196692157256E-01,  5.674467805742071E-03,  9.825036438470135E-01,  1.584193554096479E-04,
2460279.833333333, A.D. 2023-Dec-01 08:00:00.0000,  3.541897046731594E-01,  8.412593985012907E-01,  3.635360542294468E-01,  5.674505353740609E-03,  9.825101450814281E-01,  1.536343206706230E-04,
2460279.875000000, A.D. 2023-Dec-01 09:00:00.0000,  3.535008651103618E-01,  8.415062076618921E-01,  3.636523174170355E-01,  5.674541746191501E-03,  9.825164462389696E-01,  1.488155768643241E-04,
2460279.916666667, A.D. 2023-Dec-01 10:00:00.0000,  3.528116754828959E-01,  8.417523296155360E-01,  3.637684571802364E-01,  5.674576974918233E-03,  9.825225459039195E-01,  1.439625852726354E-04,
2460279.958333333, A.D. 2023-Dec-01 11:00:00.0000,  3.521221371582365E-01,  8.419977625936952E-01,  3.638844719174147E-01,  5.674611031612937E-03,  9.825284426378141E-01,  1.390747927648440E-04,
2460280.000000000, A.D. 2023-Dec-01 12:00:00.0000,  3.514322515011067E-01,  8.422425048088584E-01,  3.640003600228660E-01,  5.674643907832868E-03,  9.825341349788377E-01,  1.341516315978717E-04,
2460280.041666667, A.D. 2023-Dec-01 13:00:00.0000,  3.507420198739782E-01,  8.424865544539198E-01,  3.641161198861195E-01,  5.674675594996880E-03,  9.825396214412112E-01,  1.291925192017121E-04,
2460280.083333333, A.D. 2023-Dec-01 14:00:00.0000,  3.500514436375788E-01,  8.427299097015613E-01,  3.642317498912336E-01,  5.674706084381833E-03,  9.825449005145692E-01,  1.241968579512561E-04,
2460280.125000000, A.D. 2023-Dec-01 15:00:00.0000,  3.493605241514130E-01,  8.429725687036258E-01,  3.643472484160746E-01,  5.674735367118923E-03,  9.825499706633266E-01,  1.191640349272194E-04,
2460280.166666667, A.D. 2023-Dec-01 16:00:00.0000,  3.486692627742847E-01,  8.432145295904893E-01,  3.644626138315912E-01,  5.674763434189998E-03,  9.825548303260377E-01,  1.140934216616922E-04,
2460280.208333333, A.D. 2023-Dec-01 17:00:00.0000,  3.479776608648368E-01,  8.434557904704195E-01,  3.645778445010702E-01,  5.674790276423754E-03,  9.825594779147419E-01,  1.089843738740007E-04,
2460280.250000000, A.D. 2023-Dec-01 18:00:00.0000,  3.472857197820975E-01,  8.436963494289312E-01,  3.646929387793833E-01,  5.674815884491926E-03,  9.825639118142993E-01,  1.038362311931886E-04,
2460280.291666667, A.D. 2023-Dec-01 19:00:00.0000,  3.465934408860382E-01,  8.439362045281312E-01,  3.648078950122186E-01,  5.674840248905366E-03,  9.825681303817142E-01,  9.864831686791654E-05,
2460280.333333333, A.D. 2023-Dec-01 20:00:00.0000,  3.459008255381466E-01,  8.441753538060549E-01,  3.649227115352939E-01,  5.674863360010058E-03,  9.825721319454468E-01,  9.341993746579014E-05,
2460280.375000000, A.D. 2023-Dec-01 21:00:00.0000,  3.452078751020091E-01,  8.444137952759946E-01,  3.650373866735596E-01,  5.674885207983084E-03,  9.825759148047113E-01,  8.815038255684917E-05,
2460280.416666667, A.D. 2023-Dec-01 22:00:00.0000,  3.445145909439113E-01,  8.446515269258171E-01,  3.651519187403781E-01,  5.674905782828486E-03,  9.825794772287607E-01,  8.283892438563636E-05,
2460280.458333333, A.D. 2023-Dec-01 23:00:00.0000,  3.438209744334506E-01,  8.448885467172729E-01,  3.652663060366884E-01,  5.674925074373048E-03,  9.825828174561575E-01,  7.748481752736326E-05,
2460280.500000000, A.D. 2023-Dec-02 00:00:00.0000,  3.431270269441665E-01,  8.451248525852922E-01,  3.653805468501530E-01,  5.674943072262014E-03,  9.825859336940315E-01,  7.208729852904675E-05,
2460280.541666667, A.D. 2023-Dec-02 01:00:00.0000,  3.424327498541751E-01,  8.453604424372795E-01,  3.654946394542790E-01,  5.674959765954704E-03,  9.825888241173204E-01,  6.664558553566190E-05,
2460280.583333333, A.D. 2023-Dec-02 02:00:00.0000,  3.417381445468811E-01,  8.455953141523623E-01,  3.656085821075220E-01,  5.674975144720017E-03,  9.825914868679914E-01,  6.115887790741706E-05,
2460280.625000000, A.D. 2023-Dec-02 03:00:00.0000,  3.410432124115942E-01,  8.458294655806907E-01,  3.657223730523647E-01,  5.674989197631893E-03,  9.825939200542561E-01,  5.562635580911095E-05,
2460280.666666667, A.D. 2023-Dec-02 04:00:00.0000,  3.403479548442757E-01,  8.460628945426646E-01,  3.658360105143750E-01,  5.675001913564629E-03,  9.825961217497590E-01,  5.004717979820768E-05,
2460280.708333333, A.D. 2023-Dec-02 05:00:00.0000,  3.396523732482567E-01,  8.462955988281760E-01,  3.659494927012316E-01,  5.675013281188111E-03,  9.825980899927511E-01,  4.442049039457105E-05,
2460280.750000000, A.D. 2023-Dec-02 06:00:00.0000,  3.389564690349844E-01,  8.465275761958335E-01,  3.660628178017309E-01,  5.675023288962941E-03,  9.825998227852477E-01,  3.874540763471346E-05,
2460280.791666667, A.D. 2023-Dec-02 07:00:00.0000,  3.382602436247969E-01,  8.467588243721728E-01,  3.661759839847576E-01,  5.675031925135442E-03,  9.826013180921631E-01,  3.302103061541792E-05,
2460280.833333333, A.D. 2023-Dec-02 08:00:00.0000,  3.375636984477192E-01,  8.469893410508527E-01,  3.662889893982321E-01,  5.675039177732579E-03,  9.826025738404304E-01,  2.724643702013125E-05,
2460280.875000000, A.D. 2023-Dec-02 09:00:00.0000,  3.368668349442917E-01,  8.472191238918370E-01,  3.664018321680204E-01,  5.675045034556736E-03,  9.826035879180977E-01,  2.142068263369607E-05,
2460280.916666667, A.D. 2023-Dec-02 10:00:00.0000,  3.361696545664215E-01,  8.474481705205616E-01,  3.665145103968158E-01,  5.675049483180390E-03,  9.826043581734062E-01,  1.554280083910635E-05,
2460280.958333333, A.D. 2023-Dec-02 11:00:00.0000,  3.354721587782705E-01,  8.476764785270851E-01,  3.666270221629812E-01,  5.675052510940659E-03,  9.826048824138458E-01,  9.611802101112582E-06,
2460281.000000000, A.D. 2023-Dec-02 12:00:00.0000,  3.347743490571687E-01,  8.479040454652247E-01,  3.667393655193585E-01,  5.675054104933721E-03,  9.826051584051891E-01,  3.626673431022207E-06,
2460281.041666667, A.D. 2023-Dec-02 13:00:00.0000,  3.340762268945686E-01,  8.481308688516760E-01,  3.668515384920352E-01,  5.675054252009103E-03,  9.826051838705021E-01, -2.413622162469334E-06,
2460281.083333333, A.D. 2023-Dec-02 14:00:00.0000,  3.333777937970288E-01,  8.483569461651145E-01,  3.669635390790744E-01,  5.675052938763842E-03,  9.826049564891338E-01, -8.510146241414201E-06,
2460281.125000000, A.D. 2023-Dec-02 15:00:00.0000,  3.326790512872420E-01,  8.485822748452817E-01,  3.670753652491971E-01,  5.675050151536498E-03,  9.826044738956791E-01, -1.466398552013299E-05,
2460281.166666667, A.D. 2023-Dec-02 16:00:00.0000,  3.319800009050963E-01,  8.488068522920529E-01,  3.671870149404253E-01,  5.675045876401027E-03,  9.826037336789184E-01, -2.087625246462016E-05,
2460281.208333333, A.D. 2023-Dec-02 17:00:00.0000,  3.312806442087854E-01,  8.490306758644878E-01,  3.672984860586704E-01,  5.675040099160522E-03,  9.826027333807331E-01, -2.714808590377687E-05,
2460281.250000000, A.D. 2023-Dec-02 18:00:00.0000,  3.305809827759578E-01,  8.492537428798614E-01,  3.674097764762795E-01,  5.675032805340776E-03,  9.826014704949925E-01, -3.348065165664035E-05,
2460281.291666667, A.D. 2023-Dec-02 19:00:00.0000,  3.298810182049178E-01,  8.494760506126803E-01,  3.675208840305217E-01,  5.675023980183729E-03,  9.825999424664172E-01, -3.987514317020974E-05,
