# *******************************************************************************
# Ephemeris / WWW_USER Fri Dec  6 12:26:36 2024 Pasadena, USA      / Horizons
# *******************************************************************************
# Target body name: TESS (spacecraft) (-95)         {source: TESS_merged}
# Center body name: Solar System Barycenter (0)     {source: DE441}
# Center-site name: BODY CENTER
# *******************************************************************************
# Start time      : A.D. 2024-Dec-01 00:00:00.0000 TDB
# Stop  time      : A.D. 2026-Jan-31 00:00:00.0000 TDB
# Step-size       : 60 minutes
# *******************************************************************************
# Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
# Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
# Center radii    : (undefined)
# Output units    : AU-D
# Calendar mode   : Mixed Julian/Gregorian
# Output type     : GEOMETRIC cartesian states
# Output format   : 4 (position, LT, range, and range-rate)
# Reference frame : ICRF
# *******************************************************************************
#             JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     LT,                     RG,                     RR,
# **************************************************************************************************************************************************************************************************
# $$SOE
JDTDB,Calendar Date (TDB),X,Y,Z,LT,RG,RR,
2460645.500000000, A.D. 2024-Dec-01 00:00:00.0000,  3.498541920610788E-01,  8.410766111211327E-01,  3.635499379450919E-01,  5.664651164864942E-03,  9.808039451682480E-01,  1.677181626461958E-04,
2460645.541666667, A.D. 2024-Dec-01 01:00:00.0000,  3.491628110893682E-01,  8.413198026627416E-01,  3.636704493865200E-01,  5.664690900401850E-03,  9.808108251631901E-01,  1.625018217424579E-04,
2460645.583333333, A.D. 2024-Dec-01 02:00:00.0000,  3.484709675244795E-01,  8.415623000827090E-01,  3.637909006304162E-01,  5.664729366259559E-03,  9.808174853199937E-01,  1.571654787930809E-04,
2460645.625000000, A.D. 2024-Dec-01 03:00:00.0000,  3.477786604062174E-01,  8.418040982988110E-01,  3.639112895169163E-01,  5.664766533229230E-03,  9.808239205813050E-01,  1.517063699134891E-04,
2460645.666666667, A.D. 2024-Dec-01 04:00:00.0000,  3.470858887695276E-01,  8.420451921261005E-01,  3.640316138163705E-01,  5.664802371426103E-03,  9.808301257727382E-01,  1.461216412296375E-04,
2460645.708333333, A.D. 2024-Dec-01 05:00:00.0000,  3.463926516455591E-01,  8.422855762737222E-01,  3.641518712257788E-01,  5.664836850267536E-03,  9.808360955990733E-01,  1.404083460518368E-04,
2460645.750000000, A.D. 2024-Dec-01 06:00:00.0000,  3.456989480628374E-01,  8.425252453416260E-01,  3.642720593650380E-01,  5.664869938450317E-03,  9.808418246403265E-01,  1.345634419767551E-04,
2460645.791666667, A.D. 2024-Dec-01 07:00:00.0000,  3.450047770485414E-01,  8.427641938171906E-01,  3.643921757730051E-01,  5.664901603927269E-03,  9.808473073477022E-01,  1.285837879132058E-04,
2460645.833333333, A.D. 2024-Dec-01 08:00:00.0000,  3.443101376298958E-01,  8.430024160717582E-01,  3.645122179033616E-01,  5.664931813883159E-03,  9.808525380394176E-01,  1.224661410345910E-04,
2460645.875000000, A.D. 2024-Dec-01 09:00:00.0000,  3.436150288356910E-01,  8.432399063570692E-01,  3.646321831202586E-01,  5.664960534709807E-03,  9.808575108963979E-01,  1.162071536632791E-04,
2460645.916666667, A.D. 2024-Dec-01 10:00:00.0000,  3.429194496979326E-01,  8.434766588016084E-01,  3.647520686937502E-01,  5.664987731980508E-03,  9.808622199578431E-01,  1.098033700844222E-04,
2460645.958333333, A.D. 2024-Dec-01 11:00:00.0000,  3.422233992536415E-01,  8.437126674068506E-01,  3.648718717949785E-01,  5.665013370423613E-03,  9.808666591166567E-01,  1.032512233005347E-04,
2460646.000000000, A.D. 2024-Dec-01 12:00:00.0000,  3.415268765468041E-01,  8.439479260434145E-01,  3.649915894911216E-01,  5.665037413895375E-03,  9.808708221147431E-01,  9.654703172528158E-05,
2460646.041666667, A.D. 2024-Dec-01 13:00:00.0000,  3.408298806304975E-01,  8.441824284471159E-01,  3.651112187400657E-01,  5.665059825351957E-03,  9.808747025381607E-01,  8.968699583129305E-05,
2460646.083333333, A.D. 2024-Dec-01 14:00:00.0000,  3.401324105691903E-01,  8.444161682149295E-01,  3.652307563848104E-01,  5.665080566820651E-03,  9.808782938121391E-01,  8.266719475354539E-05,
2460646.125000000, A.D. 2024-Dec-01 15:00:00.0000,  3.394344654412463E-01,  8.446491388008516E-01,  3.653501991475686E-01,  5.665099599370262E-03,  9.808815891959503E-01,  7.548358286662479E-05,
2460646.166666667, A.D. 2024-Dec-01 16:00:00.0000,  3.387360443416330E-01,  8.448813335116733E-01,  3.654695436235654E-01,  5.665116883080674E-03,  9.808845817776407E-01,  6.813198634209405E-05,
2460646.208333333, A.D. 2024-Dec-01 17:00:00.0000,  3.380371463848653E-01,  8.451127455026582E-01,  3.655887862744979E-01,  5.665132377011579E-03,  9.808872644686157E-01,  6.060809970729208E-05,
2460646.250000000, A.D. 2024-Dec-01 18:00:00.0000,  3.373377707081905E-01,  8.453433677731358E-01,  3.657079234216568E-01,  5.665146039170389E-03,  9.808896299980846E-01,  5.290748241634561E-05,
2460646.291666667, A.D. 2024-Dec-01 19:00:00.0000,  3.366379164750458E-01,  8.455731931620066E-01,  3.658269512386708E-01,  5.665157826479322E-03,  9.808916709073601E-01,  4.502555545859962E-05,
2460646.333333333, A.D. 2024-Dec-01 20:00:00.0000,  3.359375828787959E-01,  8.458022143431707E-01,  3.659458657438717E-01,  5.665167694741679E-03,  9.808933795440208E-01,  3.695759802006315E-05,
2460646.375000000, A.D. 2024-Dec-01 21:00:00.0000,  3.352367691467915E-01,  8.460304238208796E-01,  3.660646627922400E-01,  5.665175598607314E-03,  9.808947480559332E-01,  2.869874422948432E-05,
2460646.416666667, A.D. 2024-Dec-01 22:00:00.0000,  3.345354745447533E-01,  8.462578139250234E-01,  3.661833380669257E-01,  5.665181491537366E-03,  9.808957683851426E-01,  2.024398001123743E-05,
2460646.458333333, A.D. 2024-Dec-01 23:00:00.0000,  3.338336983815275E-01,  8.464843768063590E-01,  3.663018870703022E-01,  5.665185325768216E-03,  9.808964322616344E-01,  1.158814008605133E-05,
2460646.500000000, A.D. 2024-Dec-02 00:00:00.0000,  3.331314400142265E-01,  8.467101044316887E-01,  3.664203051145460E-01,  5.665187052274754E-03,  9.808967311969748E-01,  2.725905152590839E-06,
2460646.541666667, A.D. 2024-Dec-02 01:00:00.0000,  3.324286988537866E-01,  8.469349885790119E-01,  3.665385873116975E-01,  5.665186620733027E-03,  9.808966564778409E-01, -6.348200699846679E-06,
2460646.583333333, A.D. 2024-Dec-02 02:00:00.0000,  3.317254743710217E-01,  8.471590208326221E-01,  3.666567285631908E-01,  5.665183979482195E-03,  9.808961991594359E-01, -1.563981228684393E-05,
2460646.625000000, A.D. 2024-Dec-02 03:00:00.0000,  3.310217661030912E-01,  8.473821925782609E-01,  3.667747235488102E-01,  5.665179075486146E-03,  9.808953500588412E-01, -2.515472529797545E-05,
2460646.666666667, A.D. 2024-Dec-02 04:00:00.0000,  3.303175736605730E-01,  8.476044949982270E-01,  3.668925667150549E-01,  5.665171854294520E-03,  9.808940997482697E-01, -3.489889783496734E-05,
2460646.708333333, A.D. 2024-Dec-02 05:00:00.0000,  3.296128967350796E-01,  8.478259190665520E-01,  3.670102522628648E-01,  5.665162260003510E-03,  9.808924385482771E-01, -4.487845146317762E-05,
2460646.750000000, A.D. 2024-Dec-02 06:00:00.0000,  3.289077351074931E-01,  8.480464555442344E-01,  3.671277741346945E-01,  5.665150235216454E-03,  9.808903565209393E-01, -5.509967168549089E-05,
2460646.791666667, A.D. 2024-Dec-02 07:00:00.0000,  3.282020886568764E-01,  8.482660949745685E-01,  3.672451260008772E-01,  5.665135721004392E-03,  9.808878434630232E-01, -6.556900773005039E-05,
2460646.833333333, A.D. 2024-Dec-02 08:00:00.0000,  3.274959573700981E-01,  8.484848276786011E-01,  3.673623012452685E-01,  5.665118656866769E-03,  9.808848888991827E-01, -7.629307155047481E-05,
2460646.875000000, A.D. 2024-Dec-02 09:00:00.0000,  3.267893413522465E-01,  8.487026437507562E-01,  3.674792929501091E-01,  5.665098980692492E-03,  9.808814820752150E-01, -8.727863589979148E-05,
2460646.916666667, A.D. 2024-Dec-02 10:00:00.0000,  3.260822408378721E-01,  8.489195330546757E-01,  3.675960938800938E-01,  5.665076628721567E-03,  9.808776119514195E-01, -9.853263134683992E-05,
2460646.958333333, A.D. 2024-Dec-02 11:00:00.0000,  3.253746562031474E-01,  8.491354852193221E-01,  3.677126964655842E-01,  5.665051535507599E-03,  9.808732671961046E-01, -1.100621420606679E-04,
2460647.000000000, A.D. 2024-Dec-02 12:00:00.0000,  3.246665879789937E-01,  8.493504896354056E-01,  3.678290927849522E-01,  5.665023633881486E-03,  9.808684361793002E-01, -1.218744001923122E-04,
2460647.041666667, A.D. 2024-Dec-02 13:00:00.0000,  3.239580368652661E-01,  8.495645354522002E-01,  3.679452745459954E-01,  5.664992854916627E-03,  9.808631069667355E-01, -1.339767786363852E-04,
2460647.083333333, A.D. 2024-Dec-02 14:00:00.0000,  3.232490066345264E-01,  8.497776194265260E-01,  3.680612333069754E-01,  5.664959173202777E-03,  9.808572751587631E-01, -1.463734916469512E-04,
2460647.125000000, A.D. 2024-Dec-02 15:00:00.0000,  3.225394927034629E-01,  8.499897146493341E-01,  3.681769594594274E-01,  5.664922426397687E-03,  9.808509126466939E-01, -1.590786033876781E-04,
2460647.166666667, A.D. 2024-Dec-02 16:00:00.0000,  3.218294991590359E-01,  8.502008172531698E-01,  3.682924437537418E-01,  5.664882584648728E-03,  9.808440142617054E-01, -1.720966884404403E-04,
2460647.208333333, A.D. 2024-Dec-02 17:00:00.0000,  3.211190275427050E-01,  8.504109154006747E-01,  3.684076762101166E-01,  5.664839571700404E-03,  9.808365668005674E-01, -1.854355687593637E-04,
2460647.250000000, A.D. 2024-Dec-02 18:00:00.0000,  3.204080796545832E-01,  8.506199970059926E-01,  3.685226463702186E-01,  5.664793309405923E-03,  9.808285567325828E-01, -1.991031373279535E-04,
2460647.291666667, A.D. 2024-Dec-02 19:00:00.0000,  3.196966575758219E-01,  8.508280497358859E-01,  3.686373432723568E-01,  5.664743717712793E-03,  9.808199701970923E-01, -2.131073351851612E-04,
2460647.333333333, A.D. 2024-Dec-02 20:00:00.0000,  3.189847636927473E-01,  8.510350610120226E-01,  3.687517554255081E-01,  5.664690714654414E-03,  9.808107930020186E-01, -2.274561244701171E-04,
2460647.375000000, A.D. 2024-Dec-02 21:00:00.0000,  3.182724007228537E-01,  8.512410180146012E-01,  3.688658707821943E-01,  5.664634216348693E-03,  9.808010106236280E-01, -2.421574569886298E-04,
