TIC,Photometry1,Photometry2,Literature,p_TGLC_value,p_TGLC_error,f_p_value,f_p_error
16005254,TGLC,,Han2024,0.16845083584907303,0.003887762449400897,0.06230636970143211,0.021641507841394545
20182780,eleanor,SPOC,Canas2023,0.170247921068881,0.003969957237933699,0.09485488325649893,0.021106791701393807
33595516,QLP,,Armstrong2020,0.0404199,0.0019106499999999996,0.1488517483317292,0.04023380579986544
44792534,^,,Sha2021,0.04868438491578554,0.0007780121461142288,0.04946865871581774,0.015190187368302516
119585136,TGLC,,Kanodia2024,0.189720230663265,0.007882413626995752,0.06753806535900575,0.03874152289702105
144700903,SPOC,,Kanodia2021,0.0877905,0.00381815,0.006895758495197968,0.04319170023751499
150098860,SPOC,,Hoyer2021,0.0335026558114703,0.0016675197251509145,0.03362229537858874,0.048099287813790394
154220877,TGLC,,Kanodia2024,0.1568128177001162,0.0071975377515766685,0.024391712028357215,0.04477935915197687
179317684,^,,Kossakowski2019b,0.08664112290120424,0.00023871326498751881,-0.07164535045766862,0.002952592856029204
193641523,SPOC,,Burt2020,0.043031991845262386,0.0017196523740528845,0.10304869727223875,0.03584413295791786
243641947,TESS-SPOC,,Hobson2023,0.2838016,0.00848175,0.003921466216949776,0.029768997440163782
250111245,eleanor,,Canas2023,0.2389942,0.0087712,0.12213637702535785,0.032218009515859306
259172249,TGLC,,Kanodia2024,0.13427284324312413,0.002374697476958007,0.049118783013488265,0.016816916751930474
271893367,SPOC,,Kossakowski2019,0.08364340287208626,0.00024230112226288468,-0.01040425201374795,0.0029269742238550714
285048486,SPOC,,Kanodia2020,0.07641320000000001,0.00213725,0.029489021187828257,0.027144846564027072
335590096,ground-only,,Triaud2023,0.2377388773268089,0.00429744565648469,0.06285495079888637,0.016940140234822713
376524552,SPOC,,Rodriguez2023,0.14555453331338059,0.0017143677655712048,0.08741941130854514,0.010748540145913836
388076422,eleanor,,Kanodia2024,0.23992436612940254,0.02240411630049294,0.06854079922688261,0.08697957860615853
394050135,^,SPOC,Rodriguez2023,0.07857148869680056,0.0007390722568298351,0.04888719604138503,0.008946516073203408
396562848,SPOC,,Soto2021,0.0447083,0.0071940500000000004,-0.03530694903212317,0.16659210832629615
409794137,QLP,,Rodriguez2021,0.1035314124492216,0.0011873456812720974,-0.003945435510945616,0.011513706312771535
419411415,eleanor,,Kanodia2023,0.26257732344181,0.005151896772081493,-0.027957943967798604,0.020169042565996245
428787891,^,,Rodriguez2023,0.11281243859016442,0.0020558516171790687,0.051886944072569885,0.0172780571332046
445751830,eleanor^a,,Kanodia2022,0.1908088,0.0049158,0.07004495880279171,0.023958397052532356
447061717,SPOC,,Burt2021,0.07534305183364917,0.0016717802744150286,0.06693155861289468,0.020703772637644512
458419328,TESS-SPOC,,Powers2023,0.10181119189594745,0.002187384494463455,0.07430399454001335,0.01988831533373426
460984940,SPOC,,Hua2023,0.0205781824211412,0.0010985129020505305,0.05198806295070579,0.050607158729269935
464300749,^cQLP,,Dong2021,0.06699783685646135,0.0014779872874314435,-0.022421069306415742,0.02255483779385947
