TIC,catogory1,Photometry1,catogory2,Photometry2,Literature,p_TGLC_value,p_TGLC_error,f_p_value,f_p_error
1167538,3,SPOC,,,Gill2024,0.0944052,0.0010339,0.07269235,0.01015562
4672985,3,\texttttesseract,,,Jones2024,0.1041555,0.0126776,0.119753655,0.107141832
7548817,2,QLP,2,SPOC,Yee2023,0.093541778,0.001011192,0.040509866,0.010372143
8599009,2,QLP,,,Yee2023,0.124852244,0.00647943,0.083144716,0.04758184
9348006,3,SPOC,,,Polanski2024,0.0927641,0.00171,0.040398949,0.017689147
10837041,3,\daggerSPOC,,,Giacalone2022,0.0225481,0.00211035,-0.004526073,0.094016862
12421862,3,SPOC,,,Oddo2023,0.0331292,0.00347565,0.096384336,0.094800109
22233480,3,SPOC,,,Goffo2024,0.068929654,0.002029649,0.099005164,0.026529995
23769326,2,TESS-SPOC,2,SPOC,Schulte2024,0.090170239,0.003200853,0.050430851,0.033707699
24358417,3,TESS-SPOC,,,Kabath2022,0.105151127,0.001839783,0.06924862,0.016284943
29960110,3,SPOC,,,Kossakowski2021,0.0460402,0.0029479,0.053355278,0.060612551
37770169,3,SPOC,,,Oddo2023,0.051204961,0.001803749,0.064922817,0.032939087
39414571,2,QLP,,,Yee2023,0.0974831,0.0014257,0.08623381,0.013363921
49254857,3,TESS-SPOC,,,Mantovan2024,0.1309048,0.00450455,0.098649359,0.031016273
54002556,3,\dagger,,,Gill2020,0.1128732,0.0049612,0.10598345,0.039295377
58825110,2,TESS-SPOC,,,Schulte2024,0.05424863,0.001363046,-0.010291899,0.025384494
62483237,3,SPOC,,,Mistry2023,0.0352792,0.00268145,0.088924436,0.069247703
66561343,2,\texttttesseract,,,Brahm2020,0.089072667,0.000863514,0.111899355,0.008609683
68007716,2,QLP,,,Yee2023,0.065518346,0.001305826,0.021301546,0.019506139
69356857,2,QLP,,,Schulte2024,0.073055896,0.001274312,0.1016444,0.015669988
70524163,2,SPOC,,,Yee2022,0.0574914,0.00118375,0.055204714,0.019453369
70899085,3,SPOC,,,Dreizler2020,0.0765618,0.001813,0.036295976,0.02282072
73540072,3,SPOC,,,Naponiello2023,0.0357395,0.00305795,-0.098467121,0.093987256
76923707,3,SPOC,,,Mistry2023b,0.088065074,0.001660272,0.028004736,0.01832482
83092282,3,SPOC,,,Psaridi2023,0.063133266,0.000620341,0.052128564,0.009313692
91987762,3,SPOC,,,Polanski2024,0.058635992,0.001063591,0.089318288,0.016518739
95660472,2,QLP,2,SPOC,Yee2023,0.083176724,0.001244394,0.058530228,0.014085177
97568467,3,\dagger,3,SPOC,Rodriguez2023,0.0446907,0.0014015,0.031512226,0.030371769
97766057,3,SPOC,,,Saunders2024,0.0769054,0.0018815,-0.006903476,0.024634016
99869022,3,TESS-SPOC,3,SPOC,Serrano Bell2024,0.072450137,0.001240368,0.082444077,0.015708828
100389539,2,QLP,,,Yee2023,0.086287751,0.001089376,0.061790657,0.011844823
103633434,3,SPOC,,,Luque2022,0.0308899,0.0032472,0.189691583,0.08518103
118327550,3,SPOC,,,Castro-Gonzalez2023,0.0271786,0.00516755,-0.203587597,0.228841776
119584412,3,SPOC,,,Mallorquin2023,0.032917119,0.002391181,-0.058561619,0.076896542
124029677,4,QLP,4,SPOC,Ulmer-Moll2022,0.082834073,0.001359078,0.060696956,0.015411369
124379043,2,QLP,,,Yee2023,0.141250251,0.001277644,0.055678896,0.008541622
124573851,3,SPOC,,,Polanski2024,0.0292546,0.0026048,0.179891718,0.073021612
126606859,3,SPOC,,,Esparza-Borges2022,0.057697684,0.003188551,0.006460849,0.054906022
130924120,3,SPOC,,,Alqasim2024,0.036195,0.00495985,0.188165279,0.111246814
139285832,3,SPOC,,,Osborn2023,0.0327617,0.00142945,-0.029283695,0.044909439
139375960,2,QLP,,,Rodriguez2021,0.0483492,0.0035204,-0.204673958,0.087714672
140691463,3,QLP,3,SPOC,Nielsen2020,0.122885131,0.000488349,0.0784722,0.003662176
142381532,3,SPOC,,,Polanski2024,0.0908772,0.00164805,0.05489247,0.017139442
142387023,3,SPOC,,,Polanski2024,0.031465506,0.001148982,0.015815922,0.035938064
142394656,3,SPOC,,,Subjak2022,0.09692954,0.000548671,0.064447403,0.005295707
142937186,3,\daggerSPOC,,,Giacalone2022,0.023755,0.00237515,-0.068747004,0.106858954
147950620,3,QLCP,,,Wang2023,0.088829589,0.000912958,0.063668749,0.009623268
